Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2798.5,2797.8,2815.65,2772.85,784111,0.03%
23 Mar 2023,2797.8,2817.1,2823,2767.75,1016581,-1.48%
22 Mar 2023,2839.85,2825,2853.15,2814.85,731807,0.03%
21 Mar 2023,2839.1,2858.15,2887,2835,691891,-0.56%
20 Mar 2023,2855.15,2915,2915,2831.05,1074367,-0.26%
17 Mar 2023,2862.65,2923.95,2923.95,2855.05,1848073,-1.06%
16 Mar 2023,2893.25,2850,2900,2828.7,1755487,2.33%
15 Mar 2023,2827.4,2772.2,2866.35,2765.2,2170346,2.98%
14 Mar 2023,2745.6,2782.95,2786.95,2740.05,1060450,-1.39%
13 Mar 2023,2784.2,2823.5,2849.45,2772.2,813217,-1.63%
10 Mar 2023,2830.2,2844,2844,2807,489978,-0.82%
09 Mar 2023,2853.55,2862,2872.45,2836.85,774224,-0.21%
08 Mar 2023,2859.55,2870,2870,2827,580250,-0.17%
06 Mar 2023,2864.55,2843,2884,2830.25,1050267,1.26%
03 Mar 2023,2828.85,2837.05,2852,2810.65,679295,-0.18%
02 Mar 2023,2833.9,2831,2849,2811,604523,-0.25%
01 Mar 2023,2840.9,2828,2853.3,2816.05,816598,0.43%
28 Feb 2023,2828.8,2750,2839,2727.45,1815923,2.87%
27 Feb 2023,2749.9,2740.4,2758.65,2725.05,561317,0.42%
24 Feb 2023,2738.5,2712.1,2762,2710,1429040,1.20%
23 Feb 2023,2705.95,2805,2805.55,2700.1,1790570,-3.22%
22 Feb 2023,2795.95,2809.95,2813.95,2780,580270,-0.75%
21 Feb 2023,2817.1,2837,2838.7,2805,631934,-0.30%
20 Feb 2023,2825.55,2845,2852,2812.1,646218,-0.28%
17 Feb 2023,2833.6,2802.95,2845.85,2785.5,840526,0.99%
16 Feb 2023,2805.95,2797,2834.35,2790.1,788964,0.71%
15 Feb 2023,2786.15,2777,2798.3,2754,817717,0.33%
14 Feb 2023,2777,2804.75,2804.75,2765,524746,-0.49%
13 Feb 2023,2790.75,2814.5,2829,2780,467228,-0.49%
10 Feb 2023,2804.6,2830,2830.95,2793,700072,-0.36%
09 Feb 2023,2814.6,2781.95,2820.35,2766.15,946372,1.77%
08 Feb 2023,2765.6,2768,2784,2744.3,811956,0.27%
07 Feb 2023,2758.05,2762,2774.5,2748.15,732250,0.14%
06 Feb 2023,2754.2,2760.4,2765,2718,1120284,-0.22%
03 Feb 2023,2760.4,2705.65,2763.9,2700,1278409,2.02%
02 Feb 2023,2705.65,2741,2741,2694,1308570,-1.39%
01 Feb 2023,2743.75,2749.8,2778,2704.8,1176872,0.66%
31 Jan 2023,2725.85,2760,2779.95,2718.05,1961805,-1.46%
30 Jan 2023,2766.2,2724,2776,2696.25,1171912,1.60%
27 Jan 2023,2722.65,2766.6,2772.85,2685.85,1801498,-1.89%
25 Jan 2023,2775,2810.9,2811,2767.1,857953,-1.27%
24 Jan 2023,2810.6,2795,2827.1,2784.45,1061471,0.94%
23 Jan 2023,2784.45,2800,2800,2767.85,1402260,-0.12%
20 Jan 2023,2787.8,2848,2848,2781,3171005,-2.73%
19 Jan 2023,2866.15,2954.9,2973.6,2843.6,2379947,-2.69%
18 Jan 2023,2945.25,2947.95,2960,2929.35,893808,0.15%
17 Jan 2023,2940.9,2925,2944.85,2911.15,716489,0.85%
16 Jan 2023,2916.05,2925,2929.6,2896,644073,0.24%
13 Jan 2023,2909.15,2925,2925,2871.75,1507864,-0.23%
12 Jan 2023,2915.95,2939,2939.85,2896,1558620,-0.83%
11 Jan 2023,2940.4,2974.9,2974.9,2935,890426,-0.67%
10 Jan 2023,2960.35,2984.15,2985,2952.2,864325,-0.80%
09 Jan 2023,2984.15,2993.3,3017.65,2951,808263,0.19%
06 Jan 2023,2978.4,3010,3023.5,2952,1045526,-0.86%
05 Jan 2023,3004.35,3039.55,3046.6,2995.4,1113920,-0.41%
04 Jan 2023,3016.85,3035,3050,3001.55,836382,-0.38%
03 Jan 2023,3028.25,3047,3059.95,3025,860367,-0.62%
02 Jan 2023,3047.25,3087.9,3087.9,3021,1015990,-1.32%
30 Dec 2022,3087.9,3130.75,3130.75,3071.3,836220,-0.87%
29 Dec 2022,3115.15,3101,3125,3092.55,596265,-0.27%
28 Dec 2022,3123.7,3109.95,3143.8,3105,972274,0.36%
27 Dec 2022,3112.6,3060,3129,3056.3,729041,1.85%
26 Dec 2022,3056.05,3057.9,3071.9,3028.8,536884,-0.06%
