Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,839.9,846.25,852.5,837.25,8078718,-1.05%
23 Mar 2023,848.8,847,861.15,845.1,9857892,-0.10%
22 Mar 2023,849.65,855.6,859.8,847.05,8018924,-0.70%
21 Mar 2023,855.6,840.1,857.35,838.75,11489951,2.16%
20 Mar 2023,837.55,836,841,825.55,10744023,0.02%
17 Mar 2023,837.4,835,841.5,823,7762461,0.82%
16 Mar 2023,830.55,821.5,837.9,814.3,8791383,0.79%
15 Mar 2023,824.05,838.05,843.5,819.35,6652641,-1.06%
14 Mar 2023,832.85,828,835.7,817.4,12573734,0.06%
13 Mar 2023,832.35,845.6,857,828.45,8315798,-2.29%
10 Mar 2023,851.9,859.6,861.6,845.5,11198583,-1.83%
09 Mar 2023,867.8,862.5,874.25,862,14746065,0.80%
08 Mar 2023,860.95,858.5,862.5,853.05,8785735,0.17%
06 Mar 2023,859.5,856.95,863.75,855.6,10781567,0.80%
03 Mar 2023,852.65,849.75,858.6,845.6,7977804,0.85%
02 Mar 2023,845.45,866,866.8,843.5,13900508,-2.28%
01 Mar 2023,865.15,846.05,868.75,845.05,12345125,2.49%
28 Feb 2023,844.1,855.95,857.6,840,13012372,-1.20%
27 Feb 2023,854.35,851.85,858.45,845.95,8064267,0.35%
24 Feb 2023,851.4,850.1,854.6,844.45,7763814,0.83%
23 Feb 2023,844.35,833.05,848.25,830.2,8437003,1.32%
22 Feb 2023,833.35,840,843,829.55,6984037,-1.27%
21 Feb 2023,844.05,849,849,837.4,9677064,-0.32%
20 Feb 2023,846.75,859.7,861.2,842.5,5992322,-0.95%
17 Feb 2023,854.9,861,868.25,850,8420479,-1.14%
16 Feb 2023,864.75,872.8,874.3,862.25,5843235,-0.41%
15 Feb 2023,868.3,872,872.2,861.6,7322266,-0.28%
14 Feb 2023,870.75,862.55,871.9,854.25,7527755,1.36%
13 Feb 2023,859.1,867.25,870.45,856.5,5707194,-0.94%
10 Feb 2023,867.25,872.05,872.7,865.15,4603464,-0.05%
09 Feb 2023,867.7,876.15,876.15,862.55,5993312,-0.46%
08 Feb 2023,871.75,882.1,886.45,868.25,6572818,-0.84%
07 Feb 2023,879.1,886.85,888.4,871.5,5055187,-0.40%
06 Feb 2023,882.65,871.85,899.15,870.6,10129098,0.01%
03 Feb 2023,882.6,873,885,859.25,7365732,1.63%
02 Feb 2023,868.45,850.95,872,837.05,9567053,1.31%
01 Feb 2023,857.25,876.3,895.2,833.3,12409819,-1.65%
31 Jan 2023,871.6,873,879.3,861.1,16856151,-0.03%
30 Jan 2023,871.85,851.9,885.5,846.15,21233998,-0.22%
27 Jan 2023,873.75,892.35,892.5,851,17300736,-2.08%
25 Jan 2023,892.35,905,907.45,884.2,11921748,-1.96%
24 Jan 2023,910.2,935,935,903.75,18527897,-2.41%
23 Jan 2023,932.7,936,939.7,924.45,5236124,0.23%
20 Jan 2023,930.55,931.25,934.85,924.65,4511360,0.20%
19 Jan 2023,928.7,923.6,938,920.75,7721730,0.51%
18 Jan 2023,924,921.9,925.6,913.25,5730939,0.69%
17 Jan 2023,917.7,914.95,919.7,906.7,6904960,0.50%
16 Jan 2023,913.15,940.45,941.75,911.7,10008273,-2.25%
13 Jan 2023,934.15,935.5,937.45,923,9083608,-0.15%
12 Jan 2023,935.55,949.35,949.7,924,8661375,-1.50%
11 Jan 2023,949.75,953,955.75,942.8,7100355,-0.25%
10 Jan 2023,952.15,964,964,942.75,7140150,-0.69%
09 Jan 2023,958.75,946.8,960,941.35,7025747,2.01%
06 Jan 2023,939.9,946.55,950.95,934.3,5787783,-1.02%
05 Jan 2023,949.55,960,961.9,938.25,6998980,-0.83%
04 Jan 2023,957.45,963.5,970,955,9059392,-0.50%
03 Jan 2023,962.3,944.75,965.6,942.6,6927819,2.20%
02 Jan 2023,941.6,932.25,945,931.8,3498198,0.84%
30 Dec 2022,933.75,941.25,943.5,930.35,3704449,-0.09%
29 Dec 2022,934.55,922.8,944,915.8,12204113,1.07%
28 Dec 2022,924.7,930.95,937.45,921.3,5956496,-0.80%
27 Dec 2022,932.2,932.45,937.8,922.6,3346083,0.38%
26 Dec 2022,928.7,908,932.95,905.1,4764440,2.44%
23 Dec 2022,906.6,912,917.25,904,6371695,-1.41%
22 Dec 2022,919.55,936,936,912.95,9202717,-1.37%
21 Dec 2022,932.3,953.1,958.9,928,8368960,-1.84%
20 Dec 2022,949.75,943.75,952.75,940.45,9511818,0.38%
19 Dec 2022,946.2,935.1,948.1,932.4,4842336,1.19%
16 Dec 2022,935.1,932.25,945.2,929.1,6926928,-0.33%
15 Dec 2022,938.15,939.75,944.95,932.6,7359261,-0.45%
14 Dec 2022,942.4,945.65,950.15,938.5,8573479,-0.23%
13 Dec 2022,944.6,940.2,949.3,936.6,8136559,0.63%
12 Dec 2022,938.65,929.9,941.15,922,7621788,0.53%
09 Dec 2022,933.7,944,945,927.6,8018981,-0.60%
08 Dec 2022,939.35,915.65,943.95,913.75,17466047,2.70%
07 Dec 2022,914.65,902.8,918,899.85,9103656,1.11%
06 Dec 2022,904.65,897.5,906.9,895.7,5351099,0.61%
05 Dec 2022,899.2,907,907.3,897.6,5098164,-0.66%
02 Dec 2022,905.15,898.3,907,891.4,7988851,0.14%
01 Dec 2022,903.85,909.5,909.5,899.5,7053100,0.29%
30 Nov 2022,901.25,895,905.1,885.45,10452798,0.97%
29 Nov 2022,892.55,894.4,901.9,890,5661158,0.10%
28 Nov 2022,891.7,887.7,899.5,885.3,7928147,0.44%
25 Nov 2022,887.75,883,891.8,880.9,7614047,1.05%
24 Nov 2022,878.55,878,880.8,873.1,4928778,0.44%
23 Nov 2022,874.7,873.9,877.8,868.75,5861417,0.53%
22 Nov 2022,870.05,874.95,877,868.35,5535233,0.00%
21 Nov 2022,870.05,860,870.95,859,7209207,1.26%
18 Nov 2022,859.2,859.3,865.8,855,7065304,0.12%
17 Nov 2022,858.2,855.4,861.4,852.7,4909607,0.33%
16 Nov 2022,855.4,858,861.6,850.6,6521854,-0.38%
15 Nov 2022,858.65,851.25,859.85,847.2,7124767,0.90%
14 Nov 2022,851,850.5,853.9,847.35,6985306,0.04%
11 Nov 2022,850.7,847,854.7,844.15,19329819,0.83%
10 Nov 2022,843.7,843.7,856.7,841,18956575,-3.43%
09 Nov 2022,873.7,875.05,880.75,868.5,10190209,0.09%
07 Nov 2022,872.95,876.25,876.8,861.3,9931261,0.56%
04 Nov 2022,868.1,869,872.9,862.3,7323879,0.47%
03 Nov 2022,864.05,857.9,880.4,856,10185978,0.06%
02 Nov 2022,863.55,875,877,861.6,11029140,-0.94%
01 Nov 2022,871.75,904,904,869,29191921,-3.78%
31 Oct 2022,906,908,918,902.1,9038777,0.33%
28 Oct 2022,903.05,915,917.95,898.9,7320207,-1.32%
27 Oct 2022,915.15,909,919.95,901.25,11967044,1.36%
25 Oct 2022,902.85,905.7,910.6,891.6,13187308,-0.73%
24 Oct 2022,909.45,916,918.45,905,3085307,1.01%
21 Oct 2022,900.4,860.1,906,855.85,58057724,9.03%
20 Oct 2022,825.85,824.9,831.9,816.95,11813817,-0.48%
19 Oct 2022,829.85,818.45,838.45,816.9,10868663,1.65%
18 Oct 2022,816.35,820,822.9,811.55,8470882,0.27%
17 Oct 2022,814.15,803.5,817,797.1,9463827,1.71%
14 Oct 2022,800.5,815.55,820.7,794.45,8220645,-0.19%
13 Oct 2022,802,807,814.95,795.6,13024911,-0.83%
12 Oct 2022,808.7,789.5,810.8,783.45,21228018,2.95%
11 Oct 2022,785.55,780,795.5,774.5,15953495,1.12%
10 Oct 2022,776.85,748,778.7,745,14106654,2.80%
07 Oct 2022,755.7,753.8,757.5,742.3,7500540,0.08%
06 Oct 2022,755.1,750,760.4,746,9376433,1.66%
04 Oct 2022,742.8,733.4,744.5,732,5438934,2.77%
03 Oct 2022,722.75,731,742,721.05,6405645,-1.43%
30 Sep 2022,733.2,720,737.75,714.4,9536017,1.97%
29 Sep 2022,719,722.25,730.8,711,12090981,0.36%
28 Sep 2022,716.45,733.9,733.9,707.7,13170668,-2.85%
27 Sep 2022,737.5,746.35,754.15,730.5,11358306,-0.69%
26 Sep 2022,742.6,759,763.5,741,11090327,-3.38%
23 Sep 2022,768.6,789,789,764.25,10278805,-2.61%
22 Sep 2022,789.2,805,808.8,784.3,7804275,-2.15%
21 Sep 2022,806.55,809.25,816,803.35,6567084,-0.76%
20 Sep 2022,812.75,806.8,816.2,802,8274079,1.84%
19 Sep 2022,798.1,789.3,802,786.7,11427799,1.11%
16 Sep 2022,789.3,786.05,792.6,776.1,11467351,-0.09%
15 Sep 2022,790,805.5,806.5,787.65,5996899,-1.63%
14 Sep 2022,803.05,794.4,811.35,794.4,10494713,-0.31%
13 Sep 2022,805.55,805,808.95,803.15,9887516,0.57%
12 Sep 2022,801,789,805,786.8,15521649,2.06%
09 Sep 2022,784.85,787.95,787.95,780,8732302,0.65%
08 Sep 2022,779.75,761.75,782.2,757.1,13410790,3.22%
07 Sep 2022,755.4,743.15,758,739.05,10156460,0.72%
06 Sep 2022,750,758,761.55,748.8,7606181,-0.81%
05 Sep 2022,756.1,750.2,758.8,749.35,5894055,0.79%
02 Sep 2022,750.2,749,754.55,740.25,7767812,0.81%
01 Sep 2022,744.15,733.5,754.9,733.5,9353805,-0.98%
30 Aug 2022,751.5,733,753.55,733,9193270,3.13%
29 Aug 2022,728.7,730,734.9,722.05,5904146,-2.17%
26 Aug 2022,744.9,748,755,741.3,4613713,0.21%
25 Aug 2022,743.35,753.9,758.6,740,6320890,-0.91%
24 Aug 2022,750.15,745,752.05,742,6875820,0.41%
23 Aug 2022,747.05,738,750.85,733.8,6594634,0.70%
22 Aug 2022,741.85,753.4,754.45,739.2,4994311,-2.07%
19 Aug 2022,757.5,772,772.65,750.25,7553270,-0.99%
18 Aug 2022,765.05,772,776,762.1,9449924,-0.91%
17 Aug 2022,772.1,771.4,773.75,766.25,7674390,0.97%
16 Aug 2022,764.65,765,772,758.45,7051498,0.54%
12 Aug 2022,760.55,758.7,762,753.4,4614341,0.22%
11 Aug 2022,758.85,743.05,760.65,743.05,12384073,2.69%
10 Aug 2022,739,745,747.85,736.15,9069541,-0.88%
08 Aug 2022,745.55,730,747.35,728.1,8191870,2.34%
05 Aug 2022,728.5,724,731.2,721.2,4583196,0.96%
04 Aug 2022,721.6,735.2,736.7,712.2,7466635,-1.22%
03 Aug 2022,730.5,730,738.5,727.5,9458761,0.01%
02 Aug 2022,730.45,727,734.35,721.1,7275626,-0.05%
01 Aug 2022,730.8,726,732.3,720.4,5493105,0.83%
29 Jul 2022,724.75,733.9,734.95,723,6624854,-0.16%
28 Jul 2022,725.9,725,733.7,723.05,6964838,0.97%
27 Jul 2022,718.95,707.95,720.55,703.6,6106880,1.77%
26 Jul 2022,706.45,722.9,723.45,702.05,14135744,-2.87%
25 Jul 2022,727.35,733.5,738.8,722.5,6230411,-0.47%
22 Jul 2022,730.75,717,735,715.1,9713490,2.12%
21 Jul 2022,715.55,707.95,718.45,704.35,8036515,1.40%
20 Jul 2022,705.7,706.3,714.5,702.7,11620331,0.73%
19 Jul 2022,700.6,678.6,703.85,678.6,10171314,2.35%
18 Jul 2022,684.5,668.05,688,663.45,12464664,3.37%
15 Jul 2022,662.2,670,674.2,659.1,6015057,-0.91%
14 Jul 2022,668.25,678.6,680.45,665.6,8026311,-1.71%
