Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1240.65,1281.3,1290,1236.2,2676573,-3.83%
23 Mar 2023,1290,1291.95,1310.5,1278.3,1947186,-0.35%
22 Mar 2023,1294.55,1271,1314.95,1270.55,2884348,2.09%
21 Mar 2023,1268.1,1259,1271.5,1248.6,2333183,1.82%
20 Mar 2023,1245.4,1305,1307.95,1231,3970911,-4.33%
17 Mar 2023,1301.75,1304.95,1316.3,1293,1332869,0.63%
16 Mar 2023,1293.6,1285.5,1304,1270.55,1539281,0.86%
15 Mar 2023,1282.6,1290,1309.7,1278,1376141,0.16%
14 Mar 2023,1280.55,1300,1302.3,1269,2060607,-1.17%
13 Mar 2023,1295.7,1326,1341.2,1291.9,1668502,-2.49%
10 Mar 2023,1328.85,1340,1342,1321.05,1389890,-1.75%
09 Mar 2023,1352.55,1378,1378.95,1350,1545024,-2.05%
08 Mar 2023,1380.8,1375,1383.8,1357.9,1557533,0.00%
06 Mar 2023,1380.8,1357.25,1399.45,1357.25,2466703,1.88%
03 Mar 2023,1355.35,1357,1364.45,1346.1,1199487,0.88%
02 Mar 2023,1343.55,1375,1385.95,1337.2,3267851,-0.03%
01 Mar 2023,1343.9,1335.7,1360,1334.9,1134472,0.67%
28 Feb 2023,1334.9,1364.2,1371.9,1330,1597380,-1.66%
27 Feb 2023,1357.4,1357.95,1367.25,1345,972575,-0.12%
24 Feb 2023,1359,1353.7,1386,1350.35,1342454,0.89%
23 Feb 2023,1346.95,1362,1365.95,1341,1095460,-1.03%
22 Feb 2023,1360.95,1389.9,1392,1356,1402505,-2.39%
21 Feb 2023,1394.3,1409.4,1409.4,1390,1117177,-0.73%
20 Feb 2023,1404.6,1418,1425.8,1400.8,993735,-0.67%
17 Feb 2023,1414.05,1420.05,1427.2,1410,994199,-0.99%
16 Feb 2023,1428.2,1429,1435,1413.05,2153424,0.52%
15 Feb 2023,1420.8,1398,1423.95,1388.05,1518171,1.59%
14 Feb 2023,1398.6,1390,1405,1373.65,1390992,0.72%
13 Feb 2023,1388.55,1404,1415,1381.75,1467695,-0.94%
10 Feb 2023,1401.75,1406,1418.65,1394,2069492,0.11%
09 Feb 2023,1400.25,1370,1409.9,1356.65,2593600,2.29%
08 Feb 2023,1368.9,1356.95,1377,1345.2,1516979,1.37%
07 Feb 2023,1350.4,1345.15,1362.35,1337.1,1604424,0.55%
06 Feb 2023,1343.05,1337.45,1349,1322.1,1546926,0.42%
03 Feb 2023,1337.45,1305,1340.8,1281.3,3271913,5.15%
02 Feb 2023,1271.9,1269,1288.65,1252.1,2419664,0.28%
01 Feb 2023,1268.3,1348,1360,1246.85,4761664,-5.52%
31 Jan 2023,1342.45,1354.4,1357.15,1323.8,2213909,-0.10%
30 Jan 2023,1343.85,1320.8,1360,1317.85,4411750,2.26%
27 Jan 2023,1314.2,1315.1,1336.15,1302.05,1829556,-0.01%
25 Jan 2023,1314.35,1334.9,1334.9,1310,1549899,-1.38%
24 Jan 2023,1332.7,1336.25,1349,1329.55,1311451,0.00%
23 Jan 2023,1332.75,1330,1345,1319.55,1832743,-0.03%
20 Jan 2023,1333.2,1360,1361.65,1326.55,2091612,-1.62%
19 Jan 2023,1355.15,1365,1365.95,1348.1,1910318,-0.89%
18 Jan 2023,1367.3,1379.8,1380,1365,2589016,-0.41%
17 Jan 2023,1372.9,1389,1391.6,1353.95,3681802,-0.79%
16 Jan 2023,1383.9,1398.15,1418.45,1379.2,3480545,-0.52%
13 Jan 2023,1391.15,1394.75,1399.85,1374.35,3754686,0.24%
12 Jan 2023,1387.8,1405,1414.95,1379,3168742,-0.85%
11 Jan 2023,1399.7,1418,1422.85,1397.05,2327598,-0.96%
10 Jan 2023,1413.3,1429,1429,1391,2903001,-0.05%
09 Jan 2023,1414,1447,1450.9,1408.65,4513767,-1.14%
06 Jan 2023,1430.35,1473.55,1473.55,1423,5207616,-2.62%
05 Jan 2023,1468.85,1548,1548,1454.7,5979381,-5.10%
04 Jan 2023,1547.85,1562,1567.35,1540.4,1036103,-0.97%
03 Jan 2023,1563,1549,1570,1544.05,1306648,0.68%
02 Jan 2023,1552.5,1550,1560,1528.55,1061404,0.30%
30 Dec 2022,1547.85,1528,1573,1525.85,2638505,2.39%
29 Dec 2022,1511.7,1515,1522,1503.05,3417120,-0.72%
28 Dec 2022,1522.7,1534.7,1534.7,1513,1411078,-0.98%
27 Dec 2022,1537.7,1545,1551.4,1518,1102198,0.18%
26 Dec 2022,1535,1496.9,1544.95,1483.15,1329547,2.53%
23 Dec 2022,1497.05,1524.3,1543.3,1492,1673592,-3.06%
22 Dec 2022,1544.3,1586.1,1594.2,1530,2100618,-2.37%
