Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,762.45,763.55,767,758.85,2336818,-0.14%
23 Mar 2023,763.55,758,765.8,756.85,2454948,0.91%
22 Mar 2023,756.7,761,763.2,753.15,2680654,-0.03%
21 Mar 2023,756.95,760,766,755.15,5332221,0.28%
20 Mar 2023,754.8,754.95,759.8,748.8,3566109,-0.32%
17 Mar 2023,757.25,750,759.45,739.15,9306857,1.51%
16 Mar 2023,745.95,750,759,743.5,7465693,-1.41%
15 Mar 2023,756.65,758,765.55,752.5,8101060,-1.96%
14 Mar 2023,771.8,764,776.75,764,3753502,0.85%
13 Mar 2023,765.3,777.45,777.8,763.15,3447889,-1.09%
10 Mar 2023,773.75,773,778.95,768.2,4113931,0.05%
09 Mar 2023,773.4,795,795,770.2,5240056,0.89%
08 Mar 2023,766.55,764,769.9,760.7,3546995,-0.01%
06 Mar 2023,766.6,766.7,775.9,765.1,4597345,0.29%
03 Mar 2023,764.4,745,765.9,743.55,5759333,3.28%
02 Mar 2023,740.1,751,751.8,735.8,4910541,-1.35%
01 Mar 2023,750.2,742.4,753.45,741,3744982,1.07%
28 Feb 2023,742.25,755,757.1,739.65,10562614,-1.41%
27 Feb 2023,752.9,753,754.4,738.45,6719439,-0.55%
24 Feb 2023,757.1,775.7,775.8,755,4357223,-0.77%
23 Feb 2023,762.95,774,777.5,761.85,4062194,-1.19%
22 Feb 2023,772.15,777,781.65,766.5,3261898,-0.89%
21 Feb 2023,779.05,783.05,788,778.15,2769616,-0.01%
20 Feb 2023,779.15,781.25,793.8,777.1,3381774,0.30%
17 Feb 2023,776.8,785.95,787.45,770.3,3093216,-0.98%
16 Feb 2023,784.45,789.65,790.5,780.6,3399428,-0.12%
15 Feb 2023,785.4,775,787.15,772.2,3602838,1.32%
14 Feb 2023,775.2,769,777.6,766.2,3502010,0.86%
13 Feb 2023,768.6,771,779.6,766.7,3705892,-0.43%
10 Feb 2023,771.95,768.95,773.2,761,2954992,0.69%
09 Feb 2023,766.65,770,775.1,761.3,5913945,-1.09%
08 Feb 2023,775.1,778,781,765,9951783,-1.37%
07 Feb 2023,785.9,793.9,795.85,783,4126502,-0.42%
06 Feb 2023,789.25,789.7,794.65,778.8,2407975,-0.46%
03 Feb 2023,792.9,779.9,794.95,778.4,5493687,1.95%
02 Feb 2023,777.75,765.1,781,765.05,2841909,1.12%
01 Feb 2023,769.1,775.95,784.65,756.6,4472974,-0.16%
31 Jan 2023,770.3,775,779,768.4,8537557,0.01%
30 Jan 2023,770.2,771.6,774.95,763,5420851,-0.56%
27 Jan 2023,774.5,774.95,778.9,765.8,6745926,-0.26%
25 Jan 2023,776.5,774.95,780.5,768,6560514,0.11%
24 Jan 2023,775.65,773,777.55,761,5012125,0.38%
23 Jan 2023,772.7,767.9,776,763.85,2685320,1.08%
20 Jan 2023,764.45,775.85,775.85,758.3,6289718,-0.98%
19 Jan 2023,772,776,776.5,765.65,4169463,-0.59%
18 Jan 2023,776.55,768.2,780,766,5800899,1.42%
17 Jan 2023,765.7,759.15,768.9,758.75,6594428,0.86%
16 Jan 2023,759.15,766.4,768.1,754.65,5779293,-0.67%
13 Jan 2023,764.3,757,765.95,752,12279288,0.98%
12 Jan 2023,756.9,765,769.3,753.55,12732671,-1.13%
11 Jan 2023,765.55,775,779.65,751.65,28389020,-3.44%
10 Jan 2023,792.85,826.1,826.1,790.3,8392344,-3.24%
09 Jan 2023,819.4,802.7,821.5,801.05,4340729,2.94%
06 Jan 2023,796,807.55,812.25,792,3199618,-1.38%
05 Jan 2023,807.1,825,825,803.75,5297349,-0.58%
04 Jan 2023,811.8,818.95,820.45,806.2,2970216,-0.71%
03 Jan 2023,817.6,810.35,818.8,808.5,1717603,0.50%
02 Jan 2023,813.5,806.25,816.2,805.6,1626846,0.92%
30 Dec 2022,806.1,824.7,824.8,804.95,3113243,-1.78%
29 Dec 2022,820.75,807.05,824.75,760.1,6110313,2.11%
28 Dec 2022,803.8,813,813.9,801.45,2907741,-1.35%
27 Dec 2022,814.8,815,819.45,805,1782053,0.47%
26 Dec 2022,811,805.05,815.2,801.15,6023206,0.29%
23 Dec 2022,808.65,814,817.95,805,2804496,-0.97%
22 Dec 2022,816.6,819,824.7,809.5,3626834,0.32%
21 Dec 2022,814,833,833.05,812.35,5079337,-1.80%
20 Dec 2022,828.95,839.75,839.75,822,2828863,-1.36%
19 Dec 2022,840.4,822.7,845.05,822,6397169,2.15%
16 Dec 2022,822.75,825,832.7,819.9,4309644,-0.44%
15 Dec 2022,826.35,829,831,824.35,2996482,-0.34%
14 Dec 2022,829.2,840.65,842,828.15,7491333,-1.06%
13 Dec 2022,838.05,822,840,822,3832999,1.16%
12 Dec 2022,828.4,832.6,836.95,825.4,3149823,-0.78%
09 Dec 2022,834.9,830.3,836.6,823.95,4615843,0.28%
08 Dec 2022,832.6,833,840.2,826.3,4822179,-0.17%
07 Dec 2022,834,837.55,841.6,832,3771882,0.08%
06 Dec 2022,833.35,844.9,845,829.7,5567349,-1.27%
05 Dec 2022,844.1,851,851.6,840.85,3311316,-0.54%
02 Dec 2022,848.65,851.4,851.95,839.1,3505272,0.01%
01 Dec 2022,848.6,853,853.2,841.6,4506664,-0.02%
30 Nov 2022,848.75,834.8,852,832.6,6874390,1.54%
29 Nov 2022,835.85,839,844.8,835,2680296,-0.19%
28 Nov 2022,837.4,840.25,852.55,836.05,3668846,-1.12%
25 Nov 2022,846.85,852,860,841.6,2991065,-0.18%
24 Nov 2022,848.35,846,851,837.75,3455310,0.60%
23 Nov 2022,843.25,851.85,851.85,841.6,4596816,-0.51%
22 Nov 2022,847.6,853.4,860.55,845.1,7601660,-0.42%
21 Nov 2022,851.2,837,852.8,835,5527122,1.66%
18 Nov 2022,837.3,849.95,851.85,831.1,7405949,-1.05%
17 Nov 2022,846.15,841.8,849.4,838.4,4545534,0.59%
16 Nov 2022,841.2,837.5,844.05,828.05,3445345,0.71%
15 Nov 2022,835.25,822.65,838.75,822.65,6229710,1.62%
14 Nov 2022,821.9,818,830.8,817,10406576,-0.60%
11 Nov 2022,826.9,830.75,836.9,823.8,4325441,0.14%
10 Nov 2022,825.75,819.8,830.7,817.55,4425290,0.82%
09 Nov 2022,819.05,824.2,825.5,814.45,3969171,-0.44%
07 Nov 2022,822.7,817,824.05,809,7171570,0.77%
04 Nov 2022,816.4,815.7,821.8,809.2,3768226,-0.27%
03 Nov 2022,818.65,809.75,824.4,804.2,5897840,1.09%
02 Nov 2022,809.85,830,830,807.25,11729925,-3.08%
01 Nov 2022,835.55,828,841.45,821.05,10488759,0.43%
31 Oct 2022,832,823,833.8,820,5487233,1.85%
28 Oct 2022,816.85,819,824.4,811.3,3905093,-0.03%
27 Oct 2022,817.1,806.5,822.2,804.2,8159181,1.84%
25 Oct 2022,802.3,806.15,806.35,798.7,3184277,0.02%
24 Oct 2022,802.1,800,807.5,800,522406,0.58%
21 Oct 2022,797.45,790,802.85,789.75,4807736,0.57%
20 Oct 2022,792.9,782,794,778.3,4756732,1.21%
19 Oct 2022,783.4,787.95,788.65,779.5,5219180,0.03%
18 Oct 2022,783.15,769.85,785.6,768.65,4391263,2.24%
17 Oct 2022,766,761,771,759.85,4566333,0.01%
14 Oct 2022,765.95,779.95,779.95,763.05,3608210,-0.38%
13 Oct 2022,768.9,775,779,767.65,2842056,-0.86%
12 Oct 2022,775.55,780.3,781.35,769.2,5984299,-0.61%
11 Oct 2022,780.3,797.5,797.5,776,3699862,-1.52%
10 Oct 2022,792.35,784.95,794.8,779.7,3519416,-0.09%
07 Oct 2022,793.1,792,796.8,784.7,6025982,0.57%
06 Oct 2022,788.6,810.55,815.85,786.65,6503205,-2.49%
04 Oct 2022,808.7,813,816.75,807.5,5772140,0.67%
03 Oct 2022,803.35,803.4,815.55,798.05,12619046,0.43%
30 Sep 2022,799.9,765.95,809,761.45,7469164,4.61%
29 Sep 2022,764.65,763.95,769,759.3,5413233,0.42%
28 Sep 2022,761.45,755.5,771,755,5546932,0.11%
27 Sep 2022,760.6,758.85,765,757.2,5965026,0.74%
26 Sep 2022,755.05,769.95,771.15,753.2,13144297,-2.11%
23 Sep 2022,771.35,788,788,768.7,9271829,-1.63%
22 Sep 2022,784.1,791.2,794.8,776.35,7721133,0.50%
21 Sep 2022,780.2,792.15,797,779,9966193,-1.51%
20 Sep 2022,792.15,786.7,796.95,785,7936714,1.20%
19 Sep 2022,782.75,773.5,786,772.2,5760313,0.40%
16 Sep 2022,779.65,788,788,776.45,20211162,-0.69%
15 Sep 2022,785.1,788,790.65,782,5485310,0.22%
14 Sep 2022,783.35,776,788.4,775.75,6645392,-0.11%
13 Sep 2022,784.25,774,788.9,770,8335652,1.96%
12 Sep 2022,769.15,767,771.4,764.5,2654087,0.44%
09 Sep 2022,765.75,773,774.8,762.9,4627905,-0.53%
08 Sep 2022,769.8,759,776,757.05,10648073,2.22%
07 Sep 2022,753.1,755.5,761.9,686.2,126794211,-1.07%
06 Sep 2022,761.25,740.4,765,740.4,10166270,2.82%
05 Sep 2022,740.4,735,741.95,733.25,3660135,0.73%
02 Sep 2022,735,725,740.9,719.65,5693707,-0.01%
01 Sep 2022,735.05,726.5,746,726.5,11869518,1.16%
30 Aug 2022,726.6,722,730.1,711.8,8894800,0.83%
29 Aug 2022,720.6,717.7,724.9,715.1,5878942,-1.40%
26 Aug 2022,730.85,741.5,741.5,728,5928897,-1.37%
25 Aug 2022,741,744.8,754.05,735.25,9849958,0.30%
24 Aug 2022,738.75,722.85,754.2,718,14922081,0.16%
23 Aug 2022,737.6,725,742.6,722.55,8229797,1.37%
22 Aug 2022,727.6,731.85,734.4,724.4,8118490,-0.64%
19 Aug 2022,732.3,730.2,737.6,726,13743828,-0.12%
18 Aug 2022,733.2,725,736,720.9,10354897,1.42%
17 Aug 2022,722.95,707,724.65,702.3,8812954,2.68%
16 Aug 2022,704.1,715,716,700.5,6679663,-0.79%
12 Aug 2022,709.7,709.85,712.5,706.65,4540159,-0.01%
11 Aug 2022,709.8,718.8,719.4,705.7,7142902,-0.76%
10 Aug 2022,715.25,713.9,718,706,12201239,1.55%
08 Aug 2022,704.35,707.95,709.85,699,5918607,0.10%
05 Aug 2022,703.65,698,710,696.35,5811092,1.35%
04 Aug 2022,694.3,698.2,698.5,680.7,6352142,0.17%
03 Aug 2022,693.15,688,696.85,687,5237250,0.92%
02 Aug 2022,686.8,700,700.3,681.15,6236599,-1.10%
01 Aug 2022,694.45,677.95,697.8,677.05,8812526,2.43%
29 Jul 2022,677.95,672.8,680.65,671,7669970,1.66%
28 Jul 2022,666.85,678.8,679.4,664.2,7374170,-1.19%
27 Jul 2022,674.9,683.95,683.95,669.7,6237523,-1.34%
26 Jul 2022,684.1,682.6,685.35,670.25,5016687,0.84%
25 Jul 2022,678.4,680,686.55,676.55,2913348,-0.07%
22 Jul 2022,678.85,679.7,681.9,675.2,2415220,0.07%
21 Jul 2022,678.35,671.5,679.95,671.2,3550107,1.15%
20 Jul 2022,670.65,680,680,668.2,4458819,-0.33%
19 Jul 2022,672.9,675,677,663.1,7836419,1.49%
18 Jul 2022,663.05,657,670,649.15,8982417,1.73%
15 Jul 2022,651.8,648.95,657.5,643.25,5567877,1.58%
14 Jul 2022,641.65,650,652.2,628.75,11379990,-0.29%
13 Jul 2022,643.5,670,670,641,12030163,-2.94%
12 Jul 2022,663,663.25,666.9,660,7416645,0.37%
11 Jul 2022,660.55,675,681,658.95,18687521,-4.98%
08 Jul 2022,695.15,688,696.6,686.65,2732170,1.22%
07 Jul 2022,686.8,692,696.5,685.45,3485283,-1.03%
06 Jul 2022,693.95,684.5,694.95,684.2,4697006,1.39%
05 Jul 2022,684.45,683.3,689.3,680.05,3494504,0.37%
04 Jul 2022,681.9,670.5,685.5,666.05,4229588,1.25%
01 Jul 2022,673.45,684.85,685.8,666,4488771,-1.68%
30 Jun 2022,684.95,689.8,691.6,679,6505666,-0.41%
29 Jun 2022,687.8,677,689.1,675,5011798,0.98%
28 Jun 2022,681.15,683,684.9,676.3,3216376,-0.41%
27 Jun 2022,683.95,675,687,671.2,5284297,1.90%
24 Jun 2022,671.2,662.1,675.7,662.1,5621332,1.67%
23 Jun 2022,660.2,648.15,664.6,647.75,4336533,2.70%
22 Jun 2022,642.85,648.6,650.35,641.45,4348884,-1.75%
21 Jun 2022,654.3,642.1,658.15,640.5,3515991,2.09%
