Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1051.75,1073,1090,1047.05,2688253,-1.33%
23 Mar 2023,1065.9,1077,1080.4,1061,2178855,-1.44%
22 Mar 2023,1081.45,1091.95,1105.75,1079.05,1382329,-0.23%
21 Mar 2023,1083.9,1099,1102.4,1077.1,2421127,-0.64%
20 Mar 2023,1090.85,1105,1108.3,1086.25,2066169,-1.59%
17 Mar 2023,1108.45,1088.2,1117.1,1084.05,5350523,3.36%
16 Mar 2023,1072.4,1083.95,1087.55,1069.65,1812907,-0.67%
15 Mar 2023,1079.65,1095.05,1097.9,1075.5,1528510,-0.41%
14 Mar 2023,1084.05,1098.55,1103.4,1066,3683544,-1.32%
13 Mar 2023,1098.6,1120.95,1133.6,1095,3028387,-1.59%
10 Mar 2023,1116.3,1105,1118.15,1105,1193681,-0.03%
09 Mar 2023,1116.65,1121.95,1126.7,1114.05,1834324,-0.36%
08 Mar 2023,1120.65,1112,1124,1107.3,3209393,-0.54%
06 Mar 2023,1126.7,1129,1148,1123.3,4091674,0.69%
03 Mar 2023,1119,1115,1129.7,1111.05,3253621,1.18%
02 Mar 2023,1105.95,1090.3,1117,1090.3,4074162,0.44%
01 Mar 2023,1101.1,1077.35,1104,1077.35,1655100,2.18%
28 Feb 2023,1077.6,1083.5,1096.9,1068.1,20793703,-0.59%
27 Feb 2023,1083.95,1090,1090,1076,1834553,-1.00%
24 Feb 2023,1094.85,1097,1104.5,1082,1684570,0.05%
23 Feb 2023,1094.35,1104.8,1111.95,1092.5,2139983,0.16%
22 Feb 2023,1092.6,1095,1105.55,1090.05,2212194,-1.14%
21 Feb 2023,1105.2,1121,1122.05,1103.1,1313278,-0.94%
20 Feb 2023,1115.7,1109.55,1134.7,1107.6,1706036,0.55%
17 Feb 2023,1109.55,1121.7,1121.7,1107.55,1958807,-1.65%
16 Feb 2023,1128.15,1138.6,1152.15,1124,2369355,-0.42%
15 Feb 2023,1132.9,1125,1134.6,1119.6,1648954,0.66%
14 Feb 2023,1125.45,1121,1142.4,1118,3938046,1.12%
13 Feb 2023,1113,1121.25,1121.25,1105,2009185,-0.24%
10 Feb 2023,1115.65,1125.8,1130,1100,3185163,-2.68%
09 Feb 2023,1146.35,1144,1152,1138,1501083,0.12%
08 Feb 2023,1145,1133.9,1149,1132.7,2848255,1.48%
07 Feb 2023,1128.25,1147.85,1153,1125.9,1931191,-1.52%
06 Feb 2023,1145.7,1135.2,1149.85,1128,2070175,-0.04%
03 Feb 2023,1146.15,1154,1156.65,1138.6,1814055,-0.30%
02 Feb 2023,1149.6,1137.8,1155.5,1135,3048359,1.55%
01 Feb 2023,1132.1,1137,1137,1114.45,2393911,0.88%
31 Jan 2023,1122.2,1136,1137.7,1113,4582858,-1.11%
30 Jan 2023,1134.75,1115.6,1139.95,1105.8,3508427,1.72%
27 Jan 2023,1115.6,1122.75,1134.3,1105,3864525,-0.64%
25 Jan 2023,1122.75,1134.85,1134.85,1116.75,2692236,-1.33%
24 Jan 2023,1137.85,1125.9,1143.7,1121.2,4861107,1.49%
23 Jan 2023,1121.2,1111,1122.9,1108.15,1696834,1.21%
20 Jan 2023,1107.8,1111.05,1121.4,1107.05,4747128,-0.32%
19 Jan 2023,1111.4,1102.35,1113.35,1098.75,2298287,-0.34%
18 Jan 2023,1115.15,1118.95,1125.85,1114.1,6905092,0.37%
17 Jan 2023,1111.05,1097.9,1113.95,1095,4390338,1.59%
16 Jan 2023,1093.7,1087,1100.45,1078.55,4508538,1.48%
13 Jan 2023,1077.8,1043.9,1084,1041,8253765,0.57%
12 Jan 2023,1071.65,1061,1074.5,1061,4748542,1.60%
11 Jan 2023,1054.8,1069,1079.6,1050.55,3594167,-0.85%
10 Jan 2023,1063.85,1061,1072.6,1056.3,2297082,-0.34%
09 Jan 2023,1067.45,1044.95,1071,1040.05,4562242,3.35%
06 Jan 2023,1032.8,1044,1047.9,1025.25,1887689,-1.08%
05 Jan 2023,1044.1,1041.8,1049.8,1033.1,2294943,0.72%
04 Jan 2023,1036.6,1036.2,1042,1031.5,1219170,-0.46%
03 Jan 2023,1041.35,1039,1045.8,1033.5,2484372,0.18%
02 Jan 2023,1039.45,1039.1,1042.5,1031.5,701880,0.01%
30 Dec 2022,1039.3,1050,1055.25,1034.3,1860560,-0.49%
29 Dec 2022,1044.45,1030,1046,1028.1,1277244,0.87%
28 Dec 2022,1035.45,1030,1038.3,1026.5,1397806,-0.09%
27 Dec 2022,1036.35,1039,1040.75,1030.35,554319,0.45%
26 Dec 2022,1031.7,1031,1041.75,1029,1680715,0.11%
23 Dec 2022,1030.6,1029.5,1044.1,1027.1,2177675,-0.82%
22 Dec 2022,1039.1,1046,1054.65,1033.6,2623451,-0.12%
21 Dec 2022,1040.35,1035,1053.25,1035,2878658,1.03%
20 Dec 2022,1029.7,1027,1033.35,1011.5,2629849,-0.34%
19 Dec 2022,1033.25,1029.65,1037.5,1023.35,3328172,0.35%
16 Dec 2022,1029.65,1030,1046.45,1022.35,5159215,-1.22%
15 Dec 2022,1042.35,1051.55,1051.8,1037.1,1906369,-1.31%
14 Dec 2022,1056.2,1045,1057.3,1045,2425507,1.10%
13 Dec 2022,1044.7,1032.1,1046.9,1031.1,2284909,1.58%
12 Dec 2022,1028.4,1025,1039.15,1012.45,4275785,0.09%
09 Dec 2022,1027.5,1075,1075,1020.7,12415478,-6.71%
08 Dec 2022,1101.35,1113.75,1113.75,1098.8,1752350,-0.41%
07 Dec 2022,1105.9,1114,1116.6,1102,2399879,-1.34%
06 Dec 2022,1120.95,1121.6,1125,1107,2807894,-0.88%
05 Dec 2022,1130.85,1133.25,1141.95,1127.2,2646466,-0.41%
02 Dec 2022,1135.55,1136.4,1140.4,1123.85,2944923,-0.07%
01 Dec 2022,1136.4,1130,1150.65,1128.4,3919684,1.39%
30 Nov 2022,1120.8,1127,1129.9,1117,6053488,-0.72%
29 Nov 2022,1128.95,1118.8,1138.75,1118.05,1785948,0.91%
28 Nov 2022,1118.8,1125,1132.75,1117,2368293,-0.83%
25 Nov 2022,1128.2,1135.2,1137.55,1120.65,1977441,-0.12%
24 Nov 2022,1129.6,1106,1135,1103.5,3295202,2.37%
23 Nov 2022,1103.4,1108.95,1111.5,1099.75,2217599,0.00%
22 Nov 2022,1103.4,1091.1,1105.9,1088,2529146,0.72%
21 Nov 2022,1095.5,1098.9,1106.35,1092.6,1733741,-0.69%
