Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2559.9,2555.15,2586.6,2545.1,2114450,-0.39%
23 Mar 2023,2569.85,2568.55,2600,2556.6,2493899,-0.56%
22 Mar 2023,2584.2,2589,2591.4,2568.05,2039713,0.14%
21 Mar 2023,2580.7,2570,2584,2552.15,2862486,1.02%
20 Mar 2023,2554.7,2577,2577,2532.1,2692196,-0.37%
17 Mar 2023,2564.15,2547.3,2579.4,2513.5,4979214,1.29%
16 Mar 2023,2531.6,2534,2548.15,2502.05,3940604,0.11%
15 Mar 2023,2528.85,2579.95,2586.6,2520.25,1770763,-1.12%
14 Mar 2023,2557.45,2571.1,2595.45,2550,3613916,-0.69%
13 Mar 2023,2575.25,2610,2626.5,2566,2665484,-1.29%
10 Mar 2023,2608.9,2648,2649.95,2588.1,4394741,-2.18%
09 Mar 2023,2667.1,2679.45,2692,2662.1,1963425,-0.46%
08 Mar 2023,2679.45,2670,2696.8,2663,3598957,0.18%
06 Mar 2023,2674.75,2658,2693,2653.75,3813040,1.08%
03 Mar 2023,2646.1,2629.1,2660,2606.7,2998160,1.65%
02 Mar 2023,2603.1,2606.5,2626.95,2595.2,2060644,-0.58%
01 Mar 2023,2618.3,2626,2627.85,2607.3,1678043,0.34%
28 Feb 2023,2609.45,2560,2622.05,2560,5698126,0.67%
27 Feb 2023,2592.15,2569.3,2602,2558.25,2668852,0.58%
24 Feb 2023,2577.15,2615,2617.75,2570.25,3747521,-0.90%
23 Feb 2023,2600.5,2606,2617.6,2581.65,4026994,-0.64%
22 Feb 2023,2617.3,2654.05,2664.45,2608.25,2949868,-1.84%
21 Feb 2023,2666.4,2662,2689.9,2649.2,2778630,0.40%
20 Feb 2023,2655.9,2696.95,2705,2648.8,1557675,-1.40%
17 Feb 2023,2693.6,2695,2700,2670.05,2247198,-0.26%
16 Feb 2023,2700.5,2715.6,2724.8,2693.8,2506632,-0.13%
15 Feb 2023,2703.9,2709.5,2718.85,2683.15,3367150,-0.55%
14 Feb 2023,2718.75,2711,2720,2691.05,2874322,0.70%
13 Feb 2023,2699.85,2680,2702.9,2665.8,2609749,0.41%
10 Feb 2023,2688.7,2668,2693.4,2659.85,1505925,0.58%
09 Feb 2023,2673.25,2690,2692.45,2655,2285661,-0.47%
08 Feb 2023,2685.8,2676.35,2704,2675,2202728,0.25%
07 Feb 2023,2679.2,2684.4,2694.9,2654,2494047,-0.15%
06 Feb 2023,2683.15,2692,2707.7,2671.55,2364396,-0.43%
03 Feb 2023,2694.65,2615,2698,2609.95,4067801,3.11%
02 Feb 2023,2613.3,2622.65,2649.85,2591.3,3773664,-1.82%
01 Feb 2023,2661.7,2650,2729.85,2620.5,4406327,1.48%
31 Jan 2023,2622.95,2650,2654.5,2605.5,5721836,-0.95%
30 Jan 2023,2648.2,2646.3,2661,2597.25,4429082,-0.50%
