Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2313.35,2363,2378.7,2304.1,272040,-2.08%
23 Mar 2023,2362.5,2365,2383.85,2357,371585,0.40%
22 Mar 2023,2353.2,2349.05,2369.25,2346,166790,0.18%
21 Mar 2023,2349.05,2344.95,2356.35,2331,291142,0.41%
20 Mar 2023,2339.35,2355.15,2356.45,2304,352432,-0.67%
17 Mar 2023,2355.15,2375,2375.55,2328.8,628419,-0.67%
16 Mar 2023,2370.95,2369.4,2394,2365,577586,-0.36%
15 Mar 2023,2379.45,2400,2407.85,2370.05,217071,0.25%
14 Mar 2023,2373.45,2394.95,2411.5,2368.4,302570,-0.57%
13 Mar 2023,2387.05,2441.9,2441.9,2380,249618,-2.18%
10 Mar 2023,2440.3,2417,2443.8,2405.3,224485,-0.14%
09 Mar 2023,2443.8,2486,2491.05,2440,244591,-1.38%
08 Mar 2023,2478.05,2457,2481,2440.6,286894,-0.07%
06 Mar 2023,2479.7,2472,2491.75,2461.2,203422,0.74%
03 Mar 2023,2461.55,2475.7,2478.8,2457,197868,-0.07%
02 Mar 2023,2463.35,2443.5,2483.3,2440.9,525446,1.33%
01 Mar 2023,2431.1,2415,2443.95,2414.3,293122,0.50%
28 Feb 2023,2419.1,2447.95,2472,2410.35,542868,-0.76%
27 Feb 2023,2437.55,2485.65,2488,2430,293892,-1.94%
24 Feb 2023,2485.65,2496,2508.55,2481.4,255112,-0.39%
23 Feb 2023,2495.5,2500.55,2512.6,2482.8,294710,-0.16%
22 Feb 2023,2499.45,2507,2534.65,2495,310260,-0.84%
21 Feb 2023,2520.55,2540,2545,2516.5,203273,-0.27%
20 Feb 2023,2527.45,2540,2544.5,2513.75,182493,-0.32%
17 Feb 2023,2535.55,2492.95,2539.1,2492.95,705628,-0.83%
16 Feb 2023,2556.7,2590,2590,2546.5,433077,-0.59%
15 Feb 2023,2572,2545,2575,2537,643367,1.16%
14 Feb 2023,2542.5,2574.4,2577.1,2536.05,409279,-0.74%
13 Feb 2023,2561.55,2593.95,2602,2555.05,327921,-0.84%
10 Feb 2023,2583.3,2559.2,2589.65,2550.3,283858,0.94%
09 Feb 2023,2559.2,2614,2614,2549.1,1266011,-2.12%
08 Feb 2023,2614.65,2659.05,2686.95,2592.05,793670,-1.43%
07 Feb 2023,2652.6,2686,2694.8,2615.05,421543,-1.57%
06 Feb 2023,2695,2652.05,2704.8,2645.1,252416,1.54%
03 Feb 2023,2654.25,2674.3,2684.15,2621.05,328028,-0.25%
02 Feb 2023,2660.95,2689,2713.2,2634.6,453723,-2.43%
01 Feb 2023,2727.25,2775.55,2822.85,2675.05,408279,-1.30%
31 Jan 2023,2763.25,2724.45,2772,2684.6,579601,2.26%
30 Jan 2023,2702.3,2723.05,2764.95,2681.1,459196,-1.24%
27 Jan 2023,2736.15,2788,2810.1,2714.6,464092,-1.75%
25 Jan 2023,2785,2779,2793,2766,356744,0.47%
24 Jan 2023,2771.9,2777,2787,2762.25,129633,-0.10%
23 Jan 2023,2774.6,2751.45,2812,2750.05,434312,1.02%
20 Jan 2023,2746.45,2767.5,2767.5,2729.35,300399,-0.83%
19 Jan 2023,2769.55,2762,2779.75,2751.6,140565,-0.01%
18 Jan 2023,2769.95,2766.9,2786.35,2747.45,159791,0.11%
