Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1009.55,1019,1024.95,1004.65,2709449,-0.85%
23 Mar 2023,1018.25,1028.15,1046.2,1014.25,3703523,-1.25%
22 Mar 2023,1031.15,1028,1044,1024.15,2992139,0.81%
21 Mar 2023,1022.85,1007.35,1029.95,996,6200518,2.05%
20 Mar 2023,1002.3,1020,1020,990.2,5439347,-1.78%
17 Mar 2023,1020.5,1038,1038.6,1006.25,5324960,0.27%
16 Mar 2023,1017.8,1040,1041.95,1001.9,9261210,-2.54%
15 Mar 2023,1044.35,1079.8,1086.55,1040,4117107,-1.85%
14 Mar 2023,1064,1060.1,1082.4,1052.2,5410127,0.37%
13 Mar 2023,1060.1,1119,1119.5,1055,12242080,-7.40%
10 Mar 2023,1144.8,1155.1,1162.25,1138,3255900,-2.14%
09 Mar 2023,1169.8,1174.25,1182.65,1162.3,3086720,-0.38%
08 Mar 2023,1174.25,1109.65,1179,1105.55,7227479,4.79%
06 Mar 2023,1120.6,1132,1140,1116.65,3623590,-0.51%
03 Mar 2023,1126.4,1109,1133.2,1104.75,3365349,2.21%
02 Mar 2023,1102.05,1099.95,1110.5,1093.4,3831094,0.15%
01 Mar 2023,1100.45,1077.05,1106.55,1070.1,4006038,2.11%
28 Feb 2023,1077.7,1082.5,1089.9,1068.05,1360243,-0.39%
27 Feb 2023,1081.95,1079.95,1089.85,1067.05,2047252,0.26%
24 Feb 2023,1079.15,1080.05,1089.65,1069.6,1862986,0.33%
23 Feb 2023,1075.6,1092.7,1097.55,1066.65,3193602,-1.57%
22 Feb 2023,1092.75,1096.75,1096.95,1079.2,1983022,-0.82%
21 Feb 2023,1101.75,1110,1112.15,1096,1767689,-0.68%
20 Feb 2023,1109.3,1117.25,1122.8,1103.8,1613608,-0.48%
17 Feb 2023,1114.7,1142,1143.9,1109,3146155,-2.93%
16 Feb 2023,1148.35,1155.35,1156.1,1143.7,1918858,-0.11%
15 Feb 2023,1149.6,1155,1160.45,1145,2050158,-0.63%
14 Feb 2023,1156.85,1160.7,1162,1137,2433798,-0.04%
13 Feb 2023,1157.35,1165,1170,1148.6,2112106,-0.33%
10 Feb 2023,1161.2,1160,1167,1147.1,2126093,-0.22%
09 Feb 2023,1163.8,1150.15,1168.2,1138.3,2284751,1.61%
08 Feb 2023,1145.35,1144,1151.25,1136,1675932,0.21%
07 Feb 2023,1142.9,1134,1148.15,1122.5,3603258,1.22%
06 Feb 2023,1129.15,1109,1135,1100.45,2865938,2.32%
03 Feb 2023,1103.55,1110,1131,1079,9207051,2.57%
02 Feb 2023,1075.9,1034.9,1081,1028.4,4494575,3.27%
01 Feb 2023,1041.85,1094,1119,990,7563064,-3.80%
31 Jan 2023,1082.95,1097.05,1098.85,1068.35,6080048,-0.56%
30 Jan 2023,1089.05,1110,1124.8,1055,7991091,-2.45%
27 Jan 2023,1116.4,1163.05,1168.65,1106,4781085,-3.44%
25 Jan 2023,1156.15,1210,1211,1151.35,3420414,-4.63%
24 Jan 2023,1212.3,1206.3,1219.8,1198.35,2472106,0.63%
23 Jan 2023,1204.7,1212.7,1220.15,1200.5,1848813,0.19%
20 Jan 2023,1202.45,1208.6,1228,1198.5,4144033,0.16%
19 Jan 2023,1200.55,1215,1245,1183.25,9691261,-1.84%
18 Jan 2023,1223,1232,1238,1218,1865108,-0.60%
17 Jan 2023,1230.35,1240,1240,1212.7,1803413,-0.72%
16 Jan 2023,1239.25,1240,1250,1232.6,2398823,0.39%
13 Jan 2023,1234.4,1213,1237.3,1210.1,2184432,2.09%
12 Jan 2023,1209.15,1214,1224.75,1197.3,1862790,-0.34%
11 Jan 2023,1213.25,1232.4,1238.2,1207.4,2675249,-1.16%
10 Jan 2023,1227.55,1215,1231.15,1205,2442613,0.73%
09 Jan 2023,1218.65,1190.15,1223.6,1188.05,2836421,3.11%
06 Jan 2023,1181.9,1214,1217.7,1176.1,3029739,-2.79%
05 Jan 2023,1215.85,1229.25,1232.5,1203.8,2364186,-0.59%
04 Jan 2023,1223.1,1258,1273.4,1206.1,8001367,-1.44%
03 Jan 2023,1240.95,1226.55,1249.85,1222.3,2195814,1.19%
02 Jan 2023,1226.35,1220.1,1231.1,1211.75,2587946,0.51%
30 Dec 2022,1220.1,1238,1238,1211.5,1767556,-0.90%
29 Dec 2022,1231.15,1206,1234.9,1201.8,3134405,1.40%
28 Dec 2022,1214.15,1198,1227,1194,2834356,0.98%
27 Dec 2022,1202.35,1201.65,1209.95,1185,1462244,0.56%
26 Dec 2022,1195.7,1150,1208,1141,2100374,4.17%
23 Dec 2022,1147.85,1160.05,1179.7,1143,2621761,-2.74%
22 Dec 2022,1180.15,1207.85,1208.8,1170.2,2126536,-1.80%
21 Dec 2022,1201.8,1236,1238.15,1190.95,1495106,-2.19%
20 Dec 2022,1228.65,1215,1234.35,1209.95,1245359,0.42%
19 Dec 2022,1223.55,1233.95,1241.7,1212.1,1382378,-0.49%
16 Dec 2022,1229.55,1235,1248.8,1208.2,1944616,-0.81%
15 Dec 2022,1239.6,1252.75,1273.55,1235,3097282,-1.08%
14 Dec 2022,1253.15,1241.75,1257,1233,3913725,1.47%
13 Dec 2022,1234.95,1212.8,1240.95,1209.5,4161518,2.34%
12 Dec 2022,1206.75,1201.3,1219.9,1195.25,2790292,0.35%
