Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,378.7,381.5,383,378,9934501,-0.51%
23 Mar 2023,380.65,377,382.75,374.4,9752326,0.77%
22 Mar 2023,377.75,376.95,378.85,374.2,4774867,0.21%
21 Mar 2023,376.95,378.8,378.8,374.05,11610832,-0.49%
20 Mar 2023,378.8,373.3,379.35,372,10122167,0.87%
17 Mar 2023,375.55,385,385,369.65,48904254,-1.55%
16 Mar 2023,381.45,380.6,382.35,376.85,15710094,0.54%
15 Mar 2023,379.4,381,384.3,378,8423692,-0.08%
14 Mar 2023,379.7,385.7,386.45,377.2,10229766,-1.03%
13 Mar 2023,383.65,389.2,390.9,382.5,8791872,-1.12%
10 Mar 2023,388,386.95,390.2,383.5,8362265,0.13%
09 Mar 2023,387.5,392.1,393.6,385.65,9634283,-1.25%
08 Mar 2023,392.4,388,393.15,385.1,8917699,1.09%
06 Mar 2023,388.15,385.9,392.5,385.25,10714339,0.83%
03 Mar 2023,384.95,377,385.4,376.1,8180709,2.50%
02 Mar 2023,375.55,379.5,379.75,374.7,5019603,-0.83%
01 Mar 2023,378.7,374.25,380.4,373.6,7766667,0.53%
28 Feb 2023,376.7,382.5,384.25,375,16367477,-1.44%
27 Feb 2023,382.2,385.1,386.8,378.1,8142319,-0.75%
24 Feb 2023,385.1,389,389,381,12910220,-0.64%
23 Feb 2023,387.6,384.45,394,383.1,18830592,0.98%
22 Feb 2023,383.85,382,384.9,380,8961077,0.42%
21 Feb 2023,382.25,385,385.9,381.7,8259574,-0.47%
20 Feb 2023,384.05,384.7,387.5,381.3,7804976,0.17%
17 Feb 2023,383.4,381.05,384.55,379.25,7672135,0.22%
16 Feb 2023,382.55,382,385.25,381,9775280,0.09%
15 Feb 2023,382.2,381.75,382.85,378.55,12209350,-1.10%
14 Feb 2023,386.45,375,387.65,373.75,29125052,3.27%
13 Feb 2023,374.2,373,375.15,370,9901148,0.77%
10 Feb 2023,371.35,372.2,376.95,370.3,10278597,-0.77%
09 Feb 2023,374.25,374,380,372.15,11861196,-0.35%
08 Feb 2023,375.55,374.75,377.3,371.55,10420462,0.62%
07 Feb 2023,373.25,383.9,383.9,368.45,20643707,-2.65%
06 Feb 2023,383.4,382.5,388.2,379.6,25790153,0.72%
03 Feb 2023,380.65,381.9,382.25,372,22295321,0.54%
02 Feb 2023,378.6,361.6,384.7,360.4,55745171,4.76%
01 Feb 2023,361.4,353,365.7,329.1,64518967,2.57%
31 Jan 2023,352.35,346,355,341.05,17134291,2.19%
30 Jan 2023,344.8,346.9,351.75,341.85,14091519,-0.35%
27 Jan 2023,346,341.8,348.85,341.5,21040139,1.99%
25 Jan 2023,339.25,338.9,341,335.25,12497542,0.09%
24 Jan 2023,338.95,337.8,340.75,337.6,12302874,0.36%
23 Jan 2023,337.75,336,338.15,333.05,7124807,0.94%
20 Jan 2023,334.6,332,335.2,329.25,13103664,0.74%
19 Jan 2023,332.15,334,335.65,331.65,8346130,-0.75%
18 Jan 2023,334.65,334,336.55,332.4,12555527,0.72%
17 Jan 2023,332.25,330.2,333.5,329.1,13712537,0.62%
16 Jan 2023,330.2,330.35,332.2,327.55,8253942,0.44%
13 Jan 2023,328.75,329.85,332.25,326.4,14412671,-0.33%
12 Jan 2023,329.85,333.4,333.6,328.1,6638422,-0.59%
11 Jan 2023,331.8,335.1,335.1,331.3,4584293,-0.48%
10 Jan 2023,333.4,337.9,338.4,332.55,6949605,-1.38%
09 Jan 2023,338.05,336.95,341.3,336.15,10618786,0.90%
06 Jan 2023,335.05,334.7,337.55,333.1,8284135,0.48%
05 Jan 2023,333.45,328.65,333.9,328.2,8171437,1.97%
04 Jan 2023,327,331.85,332.5,326,6689769,-1.24%
03 Jan 2023,331.1,331.5,333.35,330.25,5997051,-0.53%
02 Jan 2023,332.85,330.9,334,329.65,5951893,0.39%
30 Dec 2022,331.55,335.4,336.75,330.5,6960264,-1.13%
29 Dec 2022,335.35,334.35,335.75,331.55,8105359,0.28%
28 Dec 2022,334.4,332.85,335,331.5,7737562,0.38%
27 Dec 2022,333.15,335.6,336.4,330.15,6727343,-0.43%
26 Dec 2022,334.6,326.5,335.1,325.5,9566210,2.42%
23 Dec 2022,326.7,330.9,331.9,325.35,10073884,-1.73%
22 Dec 2022,332.45,335.65,337.4,329.9,6584445,-0.81%
21 Dec 2022,335.15,341,341.25,334.5,7045201,-1.47%
20 Dec 2022,340.15,340.05,340.95,336.75,5482218,-0.10%
19 Dec 2022,340.5,336.8,342.35,335.35,7812801,1.61%
16 Dec 2022,335.1,337.5,338.9,331.3,12429280,-1.11%
15 Dec 2022,338.85,344.75,346.1,338,8154931,-1.90%
14 Dec 2022,345.4,346,347.35,343.75,7379878,-0.06%
13 Dec 2022,345.6,344.5,346,342.4,10693426,0.70%
12 Dec 2022,343.2,341,344,340.1,11214662,0.53%
09 Dec 2022,341.4,339.75,342.5,338,8132228,0.89%
08 Dec 2022,338.4,340.2,342.15,337.5,6200447,-0.50%
07 Dec 2022,340.1,338.5,341.5,336.65,9813208,0.83%
06 Dec 2022,337.3,334.1,338.2,334.1,6327430,0.16%
05 Dec 2022,336.75,337.65,338.85,334.15,9716390,-0.12%
02 Dec 2022,337.15,339.35,340.8,336.75,8388835,-0.71%
01 Dec 2022,339.55,341.7,341.7,336.8,16630417,-0.13%
30 Nov 2022,340,341.25,344.15,339,22556502,-0.67%
29 Nov 2022,342.3,340,345,340,10189855,0.66%
28 Nov 2022,340.05,340,341.75,338.75,9902739,-0.07%
25 Nov 2022,340.3,341,341.9,337.8,6933254,-0.13%
24 Nov 2022,340.75,339.8,342.5,337.55,8140857,0.28%
23 Nov 2022,339.8,342,342,337.5,7768291,-0.13%
22 Nov 2022,340.25,337,341,335.7,6495845,0.90%
21 Nov 2022,337.2,339.1,340,334.4,9198816,-1.13%
18 Nov 2022,341.05,343.7,344.75,339.8,7838297,-0.77%
17 Nov 2022,343.7,344.1,347.45,342.6,9994270,-0.12%
16 Nov 2022,344.1,345.7,346.85,341.65,7604924,-0.33%
15 Nov 2022,345.25,348.95,348.95,339.15,15451411,-0.56%
14 Nov 2022,347.2,356.35,356.95,346.6,17639889,-2.57%
11 Nov 2022,356.35,360,360.95,354.65,10950902,0.10%
10 Nov 2022,356,359,359.9,354.1,19327625,-1.30%
09 Nov 2022,360.7,353.5,361.45,353.2,20611075,2.04%
07 Nov 2022,353.5,355,356.35,350,10050303,-0.03%
04 Nov 2022,353.6,354,356,352.5,8386849,-0.03%
03 Nov 2022,353.7,354,358.5,353,10736155,-0.27%
02 Nov 2022,354.65,348.5,356.25,348.5,16781507,1.47%
01 Nov 2022,349.5,349.25,350.5,347.2,19665200,0.23%
31 Oct 2022,348.7,348,350.5,344.75,13825970,0.84%
28 Oct 2022,345.8,347.55,348.6,345.1,13069167,0.00%
27 Oct 2022,345.8,346.65,348.35,343.85,18558597,-0.14%
25 Oct 2022,346.3,349.45,349.5,343.65,17242211,-0.40%
24 Oct 2022,347.7,348.95,349.7,347,3170564,0.61%
21 Oct 2022,345.6,353.2,353.2,344.5,27372160,-1.17%
20 Oct 2022,349.7,347,350.95,344.8,18474706,0.97%
19 Oct 2022,346.35,343.1,347.45,339.8,16296080,1.78%
18 Oct 2022,340.3,333.95,341,333.55,20887417,2.42%
17 Oct 2022,332.25,331.1,334.75,329.6,6929063,0.05%
14 Oct 2022,332.1,332.3,333.9,330.85,6424915,1.05%
13 Oct 2022,328.65,329.95,331.3,328,7266724,-0.44%
12 Oct 2022,330.1,327.95,331.45,324.75,10337544,1.16%
11 Oct 2022,326.3,329,330.45,325.1,10609956,-0.47%
10 Oct 2022,327.85,330,331.45,326.05,9388996,-1.87%
07 Oct 2022,334.1,336.8,336.85,331.3,10506078,-0.76%
06 Oct 2022,336.65,335,339.3,332.55,22235092,1.14%
04 Oct 2022,332.85,328.7,334,328,8803255,2.60%
03 Oct 2022,324.4,332.9,333,323.25,9111289,-2.35%
30 Sep 2022,332.2,333.05,335.75,330.15,12427919,-0.26%
29 Sep 2022,333.05,329,334.9,327.75,18281337,2.49%
28 Sep 2022,324.95,331.95,333.3,324.3,15552911,-2.96%
27 Sep 2022,334.85,335,339.55,334,9991052,0.68%
26 Sep 2022,332.6,344.85,345.95,331.75,16205789,-3.98%
23 Sep 2022,346.4,347.5,349.55,343.3,22838807,0.39%
22 Sep 2022,345.05,341,348.75,340.9,24179987,1.20%
21 Sep 2022,340.95,336,345.2,335.5,20992080,1.47%
20 Sep 2022,336,338.75,339.6,335,9526068,0.12%
19 Sep 2022,335.6,329.1,336.9,329.1,14365461,1.30%
16 Sep 2022,331.3,332.35,334.6,329.7,12492851,-0.84%
15 Sep 2022,334.1,336.4,337.05,332.9,8418672,-0.37%
14 Sep 2022,335.35,331,339,330.95,12267025,0.28%
13 Sep 2022,334.4,331.7,335,330.6,10520207,1.06%
12 Sep 2022,330.9,332,332.4,330,8712689,0.12%
09 Sep 2022,330.5,330.6,333.3,330,9408098,0.18%
08 Sep 2022,329.9,329,330.6,327.5,10911130,1.17%
07 Sep 2022,326.1,326,328.3,325.25,8085824,-0.32%
06 Sep 2022,327.15,330,330,326.4,11970750,-0.52%
05 Sep 2022,328.85,325,329.6,323.75,17471906,1.76%
02 Sep 2022,323.15,318.7,324.25,318.05,25758860,1.75%
01 Sep 2022,317.6,319.5,321.9,316,13254985,-0.90%
30 Aug 2022,320.5,314.25,321.4,314.25,17829428,2.22%
29 Aug 2022,313.55,310,314.95,308.85,11361400,0.21%
26 Aug 2022,312.9,314.75,315.4,312,6956588,0.18%
25 Aug 2022,312.35,315.45,316.4,311.6,7759104,-0.56%
24 Aug 2022,314.1,315.75,319.45,313.05,11346892,-0.57%
23 Aug 2022,315.9,312.95,316,312.1,9338887,0.48%
22 Aug 2022,314.4,311.2,317,311,11355837,0.77%
19 Aug 2022,312,316.15,316.15,311.2,10422413,-1.16%
18 Aug 2022,315.65,313,316,312.6,9883851,0.99%
17 Aug 2022,312.55,311.7,313.25,311,7975854,0.64%
16 Aug 2022,310.55,308.55,311.5,308.55,8609864,0.65%
12 Aug 2022,308.55,306.25,309.4,304.5,6422504,0.75%
11 Aug 2022,306.25,313,313.45,305.3,10885990,-1.59%
10 Aug 2022,311.2,313.15,314.1,310.75,8923568,-0.62%
08 Aug 2022,313.15,310.95,313.95,310.05,8307140,0.74%
05 Aug 2022,310.85,309.5,311.8,309.1,10088723,0.44%
04 Aug 2022,309.5,308,310.35,307.15,15901918,0.44%
03 Aug 2022,308.15,310.9,310.9,303.65,17695228,-0.58%
02 Aug 2022,309.95,310,316.65,308.2,38982557,0.80%
01 Aug 2022,307.5,304,308.8,303.1,15889556,1.47%
29 Jul 2022,303.05,305,305.9,301.35,16932743,-0.13%
28 Jul 2022,303.45,304.9,305.2,302.4,10839070,-0.23%
27 Jul 2022,304.15,302.85,305,300.6,9346146,0.56%
26 Jul 2022,302.45,301,303.75,300.45,9739177,0.45%
25 Jul 2022,301.1,299,302.95,298.8,10640727,0.18%
22 Jul 2022,300.55,300,302.5,298.1,9967545,0.33%
21 Jul 2022,299.55,299,302.2,298,16042840,0.45%
20 Jul 2022,298.2,294.9,299.5,293.6,15789281,1.22%
19 Jul 2022,294.6,295,295.6,292.7,9188419,-0.24%
18 Jul 2022,295.3,295,296.3,293.75,11315876,0.60%
15 Jul 2022,293.55,292,294,289.5,11025420,0.93%
14 Jul 2022,290.85,294.3,296.35,289.15,13414357,-1.09%
13 Jul 2022,294.05,293,294.8,292.7,9277570,0.46%
12 Jul 2022,292.7,293,295.35,290.9,14074628,-0.78%
11 Jul 2022,295,293,296.95,292.05,12352667,0.67%
08 Jul 2022,293.05,292.9,294.45,290.4,11110418,0.38%
07 Jul 2022,291.95,291,293.15,288.5,13794991,0.92%
06 Jul 2022,289.3,286.1,290,285.3,18292925,0.84%
05 Jul 2022,286.9,293,293,285.75,18568655,-1.71%
04 Jul 2022,291.9,285.65,293.3,284.8,39881736,2.66%
01 Jul 2022,284.35,273.5,285,271.2,35165665,3.97%
30 Jun 2022,273.5,273.95,274.7,272,19262054,-0.20%
29 Jun 2022,274.05,269.25,275,269.15,16018449,0.81%
28 Jun 2022,271.85,268.9,272.25,268.55,11240154,0.70%
27 Jun 2022,269.95,267,270.65,266.5,8172964,1.54%
24 Jun 2022,265.85,266.1,268.35,265.2,7013132,0.13%
23 Jun 2022,265.5,265.5,267.25,262.4,9067252,0.08%
22 Jun 2022,265.3,267,270.3,264.9,11320918,-1.70%
21 Jun 2022,269.9,265,270.85,264.1,13883034,2.20%
20 Jun 2022,264.1,263.3,266.15,261.35,17081136,0.30%
17 Jun 2022,263.3,259,264.15,258.55,16654660,1.00%
16 Jun 2022,260.7,267,267.9,259.5,14293357,-1.03%
15 Jun 2022,263.4,266,267.3,263.05,5059474,-0.77%
14 Jun 2022,265.45,263.2,267.45,263.05,7422193,0.30%
13 Jun 2022,264.65,266.4,269.1,263,11092690,-2.04%
10 Jun 2022,270.15,269.05,271,268.75,8371061,-0.26%
09 Jun 2022,270.85,267.8,271.7,265.75,9860194,1.10%
08 Jun 2022,267.9,273.95,274.4,266.2,14361969,-2.19%
07 Jun 2022,273.9,273.2,275,272.25,10828539,-0.33%
06 Jun 2022,274.8,272.4,275.8,269.7,10925182,0.77%
03 Jun 2022,272.7,275,275.7,271.6,12487862,-0.29%
02 Jun 2022,273.5,270.7,274.45,267.85,14240994,0.61%
01 Jun 2022,271.85,270.65,274.1,270.2,14699792,0.44%
31 May 2022,270.65,269.05,274.5,266.4,23208345,0.59%
30 May 2022,269.05,270.5,271,267.6,11819102,-0.06%
27 May 2022,269.2,269,270.7,265.05,13468067,0.94%
26 May 2022,266.7,268.25,268.25,263.85,18420159,-2.20%
25 May 2022,272.7,272.95,273.9,270.5,15288648,0.68%
24 May 2022,270.85,275,275,270,15547968,-1.33%
23 May 2022,274.5,280,280.45,273.05,21700165,-1.96%
20 May 2022,280,277,282.35,277,32370771,1.58%
19 May 2022,275.65,262.6,279.25,262.6,78287713,3.32%
18 May 2022,266.8,266,267.8,263.15,20200332,0.79%
17 May 2022,264.7,255,265.5,254.8,17797974,4.17%
