Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1380.65,1388,1398.95,1377.5,7559127,0.44%
23 Mar 2023,1374.55,1383.95,1383.95,1370,7607718,-1.06%
22 Mar 2023,1389.25,1403,1407.25,1382.15,8356487,-0.10%
21 Mar 2023,1390.7,1399,1405,1390,8536755,-0.92%
20 Mar 2023,1403.65,1419.7,1419.7,1384.85,8221829,-1.20%
17 Mar 2023,1420.7,1430,1442.9,1411.4,9090018,1.18%
16 Mar 2023,1404.1,1417.8,1417.8,1398.7,7323117,-1.10%
15 Mar 2023,1419.65,1438,1442.85,1416.85,7556182,-0.02%
14 Mar 2023,1420,1441,1448.35,1411,7402784,-1.05%
13 Mar 2023,1435.1,1464.2,1478.3,1428,8798403,-2.48%
10 Mar 2023,1471.55,1460,1474.3,1457.65,3699580,-0.60%
09 Mar 2023,1480.4,1495,1498.35,1474.6,5104656,-0.82%
08 Mar 2023,1492.7,1490.55,1496,1481.1,4137080,-0.98%
06 Mar 2023,1507.45,1494.55,1520.4,1493.15,6561742,1.90%
03 Mar 2023,1479.3,1486.75,1489.8,1473,4615015,0.49%
02 Mar 2023,1472.15,1485,1488.6,1467.3,4644499,-1.60%
01 Mar 2023,1496.05,1492.4,1500.85,1481.5,5125043,0.57%
28 Feb 2023,1487.55,1515.6,1524,1481.3,9679811,-1.44%
27 Feb 2023,1509.3,1540,1540,1502,4920268,-2.67%
24 Feb 2023,1550.65,1560,1569,1545,2790986,0.00%
23 Feb 2023,1550.7,1569.85,1569.85,1548.15,4766854,-0.71%
22 Feb 2023,1561.8,1563,1575,1555.3,3656244,-1.12%
21 Feb 2023,1579.5,1598.7,1601.65,1576,2723288,-0.81%
20 Feb 2023,1592.45,1584.95,1603,1582.5,2417716,0.55%
17 Feb 2023,1583.8,1594,1595,1575.5,2857734,-1.12%
16 Feb 2023,1601.8,1600,1614.45,1597.85,4290289,0.30%
15 Feb 2023,1597.05,1584,1599,1576,3465747,0.24%
14 Feb 2023,1593.25,1584.7,1596,1578.15,5043736,1.65%
13 Feb 2023,1567.45,1597,1597,1566,4001199,-2.56%
10 Feb 2023,1608.55,1612.95,1616.3,1596.45,4786762,-0.52%
09 Feb 2023,1617,1596.2,1619.75,1586.05,6904911,1.67%
08 Feb 2023,1590.5,1565.5,1603,1565.5,7983338,1.80%
07 Feb 2023,1562.4,1569,1576.05,1555.1,4336238,-0.47%
06 Feb 2023,1569.85,1598,1598,1561.6,4570612,-1.85%
03 Feb 2023,1599.4,1597.5,1604.65,1573,7040194,0.99%
02 Feb 2023,1583.75,1552,1586.95,1552,6916834,2.10%
01 Feb 2023,1551.1,1542.2,1555.05,1528.05,6194199,1.13%
31 Jan 2023,1533.75,1548.9,1548.9,1513,9448126,-0.33%
30 Jan 2023,1538.8,1528.8,1544,1520,6964719,1.29%
27 Jan 2023,1519.15,1546,1550.95,1507.4,6209955,-1.55%
25 Jan 2023,1543,1547,1556,1538.75,4158617,-0.57%
24 Jan 2023,1551.9,1560,1568.8,1549.75,5200802,0.25%
23 Jan 2023,1548,1535,1553.3,1528.1,4855020,1.47%
20 Jan 2023,1525.55,1538,1545,1524,6496429,-0.87%
19 Jan 2023,1538.9,1539.9,1549.55,1526.15,6165284,-0.42%
18 Jan 2023,1545.4,1544.75,1551.85,1539.6,5843098,0.38%
17 Jan 2023,1539.5,1527,1542.2,1524,5922644,0.92%
16 Jan 2023,1525.5,1510,1528,1502.3,6073063,1.45%
13 Jan 2023,1503.65,1483.5,1519.4,1468,11610426,1.56%
12 Jan 2023,1480.6,1481.95,1485,1455,6591385,0.64%
