Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1692.15,1676.05,1708.95,1675,5480609,0.74%
23 Mar 2023,1679.7,1699.15,1700,1675,5642151,-1.49%
22 Mar 2023,1705.15,1710,1713.2,1692.1,3326099,-0.10%
21 Mar 2023,1706.85,1707.55,1711.95,1692,1805180,0.42%
20 Mar 2023,1699.65,1687,1702.95,1681.05,4463937,0.39%
17 Mar 2023,1693.1,1679.6,1706.2,1671.15,8928301,1.78%
16 Mar 2023,1663.55,1670,1678.85,1648.2,3632063,-0.14%
15 Mar 2023,1665.95,1668,1688,1661.6,4692363,1.07%
14 Mar 2023,1648.25,1673,1677.55,1643.5,14138986,-1.53%
13 Mar 2023,1673.9,1699,1723.3,1666.2,8978938,-1.49%
10 Mar 2023,1699.3,1707,1713.5,1692,4876144,-1.01%
09 Mar 2023,1716.7,1739.3,1744.55,1713.7,6928316,-1.35%
08 Mar 2023,1740.2,1736,1744.3,1726.85,5202608,-0.62%
06 Mar 2023,1751,1756.3,1764.6,1741.45,5186846,0.00%
03 Mar 2023,1751,1732,1765,1719.9,3626269,1.70%
02 Mar 2023,1721.7,1735.6,1746.35,1718,4119935,-1.33%
01 Mar 2023,1744.9,1729.25,1750.6,1726,5613386,0.91%
28 Feb 2023,1729.25,1725.95,1741.4,1721.65,4395098,0.19%
27 Feb 2023,1725.95,1698.3,1729.8,1690.8,2343798,1.69%
24 Feb 2023,1697.3,1713,1724.25,1694,2080363,-0.58%
23 Feb 2023,1707.15,1707.4,1713.75,1687.75,2770110,0.39%
22 Feb 2023,1700.55,1723.95,1726.1,1698,3539149,-1.71%
21 Feb 2023,1730.2,1745,1745,1725.05,2936934,-0.41%
20 Feb 2023,1737.3,1768.05,1768.05,1730.1,3224839,-1.25%
17 Feb 2023,1759.25,1783.1,1791.4,1751.05,2587909,-1.61%
16 Feb 2023,1787.95,1794,1803.9,1783.55,2291602,0.14%
15 Feb 2023,1785.5,1768.45,1790,1760.25,2409292,0.86%
14 Feb 2023,1770.35,1770,1777,1763.75,1614893,-0.19%
