LT Historical Data,,,,,,
Equitypandit Financial Services Pvt. Ltd.,,,,,,
Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2166.15,2206,2219.35,2153.05,1449544,-1.84%
23 Mar 2023,2206.65,2214,2242,2200.55,2455799,-0.33%
22 Mar 2023,2213.95,2219.5,2246.25,2207.9,1956033,0.25%
21 Mar 2023,2208.45,2182.7,2227,2182,3178680,1.42%
20 Mar 2023,2177.55,2191.1,2205,2152,1996773,-0.83%
17 Mar 2023,2195.75,2186.7,2228.9,2186.7,3286473,1.02%
16 Mar 2023,2173.6,2184.9,2187,2132,2946792,-0.14%
15 Mar 2023,2176.65,2164.2,2212.45,2160,3044201,1.51%
14 Mar 2023,2144.2,2144.35,2171,2134.4,2871343,0.49%
13 Mar 2023,2133.85,2164.05,2178.95,2107,2334468,-1.11%
10 Mar 2023,2157.85,2171.5,2182,2133,1900535,-1.61%
09 Mar 2023,2193.2,2174.95,2199,2171.5,1873933,1.03%
08 Mar 2023,2170.8,2152,2189.6,2140.6,2965342,1.38%
06 Mar 2023,2141.15,2158.25,2184.85,2139.8,1821012,-0.51%
03 Mar 2023,2152.05,2140,2159.9,2132.25,1821066,1.44%
02 Mar 2023,2121.6,2129.95,2149,2107.55,1727640,0.30%
01 Mar 2023,2115.3,2100,2130,2100,1389077,0.29%
28 Feb 2023,2109.15,2115,2138.3,2085,2108587,-0.22%
27 Feb 2023,2113.7,2134.05,2139.9,2082.1,1398112,-0.95%
24 Feb 2023,2134.05,2160,2172.3,2118.75,1479060,-1.16%
23 Feb 2023,2159.15,2204,2208.2,2153.5,2000556,-1.62%
22 Feb 2023,2194.75,2229,2241,2182.05,2103097,-1.56%
21 Feb 2023,2229.45,2239,2262,2222.7,1882604,0.18%
20 Feb 2023,2225.5,2233.7,2252,2215,1779752,-0.04%
17 Feb 2023,2226.35,2169.8,2249,2160,3753179,2.21%
16 Feb 2023,2178.3,2186.8,2202.3,2171.7,2464602,0.15%
15 Feb 2023,2175.05,2186,2187.85,2157.25,1946344,-0.76%
14 Feb 2023,2191.65,2215,2216,2182.15,1874906,-0.53%
13 Feb 2023,2203.3,2173,2210.4,2160.2,2978938,1.82%
10 Feb 2023,2163.85,2140.2,2169.95,2137.55,1454665,0.77%
09 Feb 2023,2147.4,2150,2151.95,2135.7,1563181,0.78%
08 Feb 2023,2130.85,2160.55,2175.25,2125.55,1452145,-1.59%
07 Feb 2023,2165.3,2162.25,2172,2150.05,1089248,0.43%
06 Feb 2023,2156.1,2164.25,2181.6,2142.3,1332484,-0.48%
03 Feb 2023,2166.55,2176.95,2181.85,2131.05,2045634,1.01%
02 Feb 2023,2144.9,2135.6,2166.95,2107.85,3488506,-0.03%
01 Feb 2023,2145.55,2133,2215.95,2080.3,6868872,1.00%
31 Jan 2023,2124.4,2119.95,2132.75,2072.65,4516463,0.54%
30 Jan 2023,2112.9,2129.4,2173.25,2083.8,3441304,-2.17%
27 Jan 2023,2159.85,2174.7,2195,2127.1,1647900,-0.68%
25 Jan 2023,2174.7,2201,2205,2155,2134447,-1.49%
24 Jan 2023,2207.5,2244.7,2252.3,2200,1036962,-1.16%
23 Jan 2023,2233.5,2255,2273.3,2227,1466706,-0.73%
20 Jan 2023,2249.95,2282.45,2297.65,2238.45,1962410,-1.02%
19 Jan 2023,2273.1,2259.85,2283.8,2241,2176835,0.29%
18 Jan 2023,2266.5,2221,2274.8,2200,4090049,2.41%
17 Jan 2023,2213.1,2139.9,2217.8,2136.4,4645453,3.55%
16 Jan 2023,2137.2,2147,2161,2132.3,1009649,-0.75%
13 Jan 2023,2153.4,2161.9,2164.85,2117.2,2180210,-0.29%
12 Jan 2023,2159.75,2118.1,2164.65,2118.1,2726901,1.62%
11 Jan 2023,2125.35,2106.1,2140,2097.1,1455621,0.89%
10 Jan 2023,2106.65,2131.9,2131.9,2097.2,1425414,-0.71%
09 Jan 2023,2121.7,2108,2127.3,2100.75,1844365,1.68%
06 Jan 2023,2086.55,2090.2,2121.7,2071.85,1877917,-0.04%
05 Jan 2023,2087.35,2080,2099.2,2068.5,1881403,0.81%
04 Jan 2023,2070.55,2090.95,2101.45,2058,1015547,-0.88%
03 Jan 2023,2088.95,2088,2096.8,2067.95,1260225,-0.02%
02 Jan 2023,2089.45,2092.9,2097.6,2075.05,807344,0.17%
30 Dec 2022,2085.8,2115,2133,2081.1,1189427,-1.19%
29 Dec 2022,2110.9,2109.65,2120.55,2094.15,1517150,-0.48%
28 Dec 2022,2121.1,2129,2136,2113.65,1153883,-0.14%
27 Dec 2022,2124.1,2101.55,2128,2085,1059351,1.58%
26 Dec 2022,2091.05,2052.75,2108,2051,1154610,1.37%
23 Dec 2022,2062.75,2094.5,2104.15,2050.1,2026125,-2.24%
22 Dec 2022,2109.95,2144,2148.35,2096.9,1993744,-1.69%
21 Dec 2022,2146.3,2153.1,2174.95,2142.85,1979681,-0.78%
20 Dec 2022,2163.25,2179.9,2179.9,2138,1747181,-0.95%
19 Dec 2022,2184,2171,2187.45,2155.05,1592779,0.41%
16 Dec 2022,2175,2161,2211.6,2161,2822390,-0.12%
15 Dec 2022,2177.55,2196.7,2209,2173.6,1323412,-0.82%
14 Dec 2022,2195.45,2176.95,2210,2175.05,1516631,1.04%
13 Dec 2022,2172.9,2170,2175.7,2152.5,1233124,0.43%
12 Dec 2022,2163.7,2148.9,2169,2134.55,1536090,0.45%
09 Dec 2022,2154.05,2168,2194.35,2137.5,2573609,-0.63%
08 Dec 2022,2167.7,2120,2175,2120,3743754,2.06%
07 Dec 2022,2124,2096.3,2144,2096.3,3438327,1.46%
06 Dec 2022,2093.5,2081,2100,2067,1530731,0.38%
05 Dec 2022,2085.6,2095.95,2096.8,2068.85,1767537,0.00%
02 Dec 2022,2085.5,2096.1,2098.9,2069.15,1957264,-0.89%
01 Dec 2022,2104.25,2085.25,2110,2079.45,2614357,1.42%
30 Nov 2022,2074.85,2053,2086,2045,2104550,1.19%
29 Nov 2022,2050.55,2070,2072,2038.6,1413764,-0.67%
28 Nov 2022,2064.45,2064.35,2072,2052,1105372,0.08%
25 Nov 2022,2062.75,2061,2095.8,2058.45,2652761,0.51%
24 Nov 2022,2052.2,2030.5,2060,2028.4,1611889,1.34%
23 Nov 2022,2025,2038.95,2044,2018,1046988,-0.24%
22 Nov 2022,2029.8,2021.55,2033.15,2019.6,1337869,0.91%
21 Nov 2022,2011.45,2019,2033,2007,714687,-0.64%
18 Nov 2022,2024.45,2039,2050.95,2006.85,1248459,-0.25%
17 Nov 2022,2029.55,2002,2059,2001.1,3786182,1.30%
16 Nov 2022,2003.6,1986,2009.85,1985.05,1195832,0.35%
15 Nov 2022,1996.55,2003,2017,1978.1,1450841,-0.16%
14 Nov 2022,1999.8,2013.05,2021.9,1995.25,1175155,-0.56%
11 Nov 2022,2011.1,2003.6,2018.8,1991.95,1203125,1.69%
10 Nov 2022,1977.65,1995,2001.85,1970.2,1261210,-1.29%
09 Nov 2022,2003.5,2025.05,2036.95,1996.25,1301233,-0.70%
07 Nov 2022,2017.65,2021.4,2032,1993,1395070,0.13%
04 Nov 2022,2015.1,2010,2029.35,2004.75,2312753,0.32%
03 Nov 2022,2008.7,2006,2022.5,1993,1052241,-0.23%
02 Nov 2022,2013.3,2036.5,2042,2000,1889651,-0.55%
01 Nov 2022,2024.45,2032,2056,1990.05,4464211,0.07%
31 Oct 2022,2023.1,1986,2034.65,1978.2,3176507,2.43%
28 Oct 2022,1975.05,1972,1986,1963.8,2013794,0.56%
27 Oct 2022,1964.05,1952.1,1971.85,1949.9,2245395,0.77%
25 Oct 2022,1949.1,1915,1954.65,1891.55,2136147,2.06%
24 Oct 2022,1909.75,1906,1919.9,1900,269400,1.76%
21 Oct 2022,1876.75,1913.7,1925,1867.1,2225676,-1.44%
20 Oct 2022,1904.15,1898.65,1917.8,1886.3,1374019,-0.04%
19 Oct 2022,1904.9,1920,1947,1901.65,1636141,-0.69%
18 Oct 2022,1918.1,1893.1,1931.2,1893.1,1401849,1.85%
17 Oct 2022,1883.2,1902.9,1914,1878.4,2588147,-1.49%
14 Oct 2022,1911.6,1900,1936.75,1898.45,1819114,1.89%
13 Oct 2022,1876.15,1901,1912,1868.25,1303645,-1.84%
12 Oct 2022,1911.25,1880,1916,1858.05,1907748,1.72%
11 Oct 2022,1878.95,1923.8,1923.8,1871.25,1047963,-1.61%
10 Oct 2022,1909.65,1905,1917,1883.5,1656954,-0.77%
07 Oct 2022,1924.55,1905,1928.95,1903.05,1469264,0.61%
06 Oct 2022,1912.95,1882,1919,1878.1,2771898,2.21%
04 Oct 2022,1871.55,1835.3,1880.95,1835.3,1637532,2.87%
03 Oct 2022,1819.3,1852,1852,1814,1850414,-1.54%
30 Sep 2022,1847.7,1823.95,1882.95,1816.05,2339518,1.77%
29 Sep 2022,1815.5,1844.65,1857.4,1797.4,2377718,-1.09%
28 Sep 2022,1835.45,1829.7,1856,1825.6,1853503,-0.31%
27 Sep 2022,1841.2,1856,1864,1832.5,1443698,-0.55%
26 Sep 2022,1851.45,1849,1876.8,1818,1529101,-0.29%
23 Sep 2022,1856.85,1890,1895.45,1852.55,1948766,-1.66%
22 Sep 2022,1888.2,1882,1905.6,1873,1875115,-0.39%
21 Sep 2022,1895.65,1921.1,1946.3,1891.6,1618385,-1.92%
20 Sep 2022,1932.7,1931,1955.8,1925,1666658,1.15%
19 Sep 2022,1910.7,1921.1,1931.95,1905,1755456,-0.48%
16 Sep 2022,1920,1947,1956.9,1915,3881617,-1.92%
15 Sep 2022,1957.5,1959.1,1984.7,1954.8,1566565,0.18%
14 Sep 2022,1953.9,1964.65,1972.95,1949.4,2322752,-1.88%
13 Sep 2022,1991.35,1968.9,1995,1963.1,1761021,1.50%
12 Sep 2022,1961.9,1949.75,1967,1947.9,791708,0.62%
09 Sep 2022,1949.75,1977.35,1987.4,1944,980869,-1.25%
08 Sep 2022,1974.4,1967.9,1977,1947.55,1632797,0.83%
07 Sep 2022,1958.1,1941.1,1961.35,1934,1238549,-0.21%
06 Sep 2022,1962.3,1973.8,1985.1,1951.3,1172733,-0.31%
05 Sep 2022,1968.35,1947.95,1972.75,1942.1,2474746,1.44%
02 Sep 2022,1940.5,1900.5,1958.8,1900.25,3201140,1.44%
01 Sep 2022,1912.95,1905,1930.5,1892.1,2014905,-0.50%
30 Aug 2022,1922.5,1893.9,1928,1889.15,1394462,2.18%
