Date,Price,Open,High,Low,Volume,Change(%)
28-03-2022,769.25,764.900024,772.700012,751.299988,4719388,0.565482743
29-03-2022,773.349976,771,783,770.700012,3519610,0.303869667
30-03-2022,793.349976,779.299988,795,775.900024,4407033,1.770969739
31-03-2022,806.549988,798,813,798,7059986,1.060069199
01-04-2022,826.549988,811,829.5,807.700012,3406177,1.881312471
04-04-2022,833.700012,818,836,810,4163250,1.883172817
05-04-2022,836.549988,837,852,833.700012,2669967,-0.053793797
06-04-2022,827.849976,838.700012,838.700012,822.950012,2049292,-1.310628292
07-04-2022,834.299988,826,840.299988,822.299988,2913537,0.994844555
08-04-2022,857.400024,830,860.650024,827.049988,4145522,3.195710664
11-04-2022,856.849976,854.950012,861.349976,846.200012,2922901,0.221738233
12-04-2022,860.799988,850,867.400024,843.299988,2961076,1.254645464
13-04-2022,866.099976,862.5,875,862.349976,3695363,0.415653631
18-04-2022,874.099976,866.099976,876,858.099976,3076843,0.915227116
19-04-2022,872.5,878.099976,887.799988,865.099976,3301212,-0.64183106
20-04-2022,881.25,873.450012,889.900024,873.450012,2208791,0.885105021
21-04-2022,911,881.25,914,880.75,3206906,3.265642151
22-04-2022,920.650024,903.799988,927.049988,889.049988,4924905,1.830232505
25-04-2022,904,914.349976,928,895.099976,5476626,-1.14490885
26-04-2022,940.150024,906.599976,942.900024,906.599976,6384561,3.568584496
27-04-2022,926.849976,930,940.700012,922.950012,3154605,-0.339863417
28-04-2022,922.900024,945,945,918.5,2869224,-2.394622974
29-04-2022,922.099976,928.900024,939.25,918,3467791,-0.737452356
02-05-2022,921.349976,915,933.700012,909.700012,2740823,0.689203469
04-05-2022,896.099976,917.900024,923.950012,891.049988,2408261,-2.432769622
05-05-2022,899.049988,910,921,895.650024,2690817,-1.217953634
06-05-2022,893.849976,890,914.799988,887.299988,4247088,0.430718365
09-05-2022,895.299988,880,901.900024,875,1790691,1.708923065
10-05-2022,888.349976,895.299988,910.950012,884.099976,2436623,-0.782350671
11-05-2022,887.049988,888.599976,898.400024,876.5,3048794,-0.174735136
12-05-2022,865.25,884.900024,889,853.700012,4908042,-2.27102271
13-05-2022,889.5,879.799988,905,870.099976,4956950,1.09050163
16-05-2022,903.349976,895,908.900024,892.700012,2856221,0.924334557
17-05-2022,910.799988,907,917,898.150024,3469290,0.417214323
18-05-2022,913.299988,910,922.75,905.200012,3203522,0.361325747
19-05-2022,882.549988,901,913,880.150024,2658159,-2.090534502
20-05-2022,903.799988,896.900024,911.349976,888.650024,3426756,0.763439267
23-05-2022,941.900024,911,943.450012,910.25,6613972,3.280605501
24-05-2022,946.849976,949,960.400024,943.099976,4546511,-0.227071242
25-05-2022,928.400024,953.799988,953.799988,923.349976,1363358,-2.735885754
26-05-2022,929.799988,930.099976,933.5,914.799988,2384886,-0.032263713
27-05-2022,952.849976,940,958,923,3269005,1.348583337
30-05-2022,998.349976,972.25,1011.75,957.049988,11690785,2.614311276
31-05-2022,1034.349976,997.950012,1043,992,13301109,3.519114888
01-06-2022,1047.349976,1035,1057.25,1014.799988,7889745,1.179164203
02-06-2022,1044.550049,1044.949951,1057.949951,1035,4081658,-0.038284618
03-06-2022,1028.650024,1050.099976,1056.550049,1025.699951,2660682,-2.085252661
06-06-2022,1035.949951,1028,1048.599976,1018,3443406,0.767406861
07-06-2022,1042.550049,1034.800049,1045,1018.099976,2162861,0.743369588
08-06-2022,1045,1056.949951,1056.949951,1034.25,4293398,-1.143535981
09-06-2022,1045.099976,1036,1049.300049,1032,2757706,0.870727797
10-06-2022,1036.5,1033,1043.5,1026.599976,2425545,0.337674867
13-06-2022,1004.299988,1023.650024,1029,998.549988,4047155,-1.926718733
14-06-2022,1019.25,1000,1025,999.049988,3614327,1.88864361
15-06-2022,1025.5,1024.650024,1039.300049,1020,3333753,0.082884057
16-06-2022,1005.25,1037.699951,1037.699951,997,3255301,-3.228047849
17-06-2022,997.650024,1000,1007.950012,983.150024,5318310,-0.23555114
20-06-2022,982.700012,1005,1008,979.099976,3722583,-2.269256917
21-06-2022,997.950012,982.700012,1004.75,981.799988,6263423,1.528132654
22-06-2022,983.799988,995.150024,1003.950012,972.650024,2629024,-1.153693448
23-06-2022,1027.699951,986,1031.599976,985.200012,7303072,4.057599785
24-06-2022,1072.050049,1036.900024,1074.5,1031.599976,7273273,3.278767165
27-06-2022,1082.699951,1089.800049,1095,1072.050049,6316257,-0.655777069
28-06-2022,1112,1082,1121.449951,1079.449951,11020641,2.697841727
29-06-2022,1111.75,1106,1115.449951,1090.699951,5052023,0.517202609
30-06-2022,1093.150024,1109.300049,1117.5,1088.050049,4165189,-1.477384133
01-07-2022,1107.349976,1092.400024,1113.349976,1064,2839545,1.350065681
04-07-2022,1091.199951,1101,1102,1079.400024,2784613,-0.898098372
05-07-2022,1081.949951,1091,1102,1078,3675577,-0.836457268
06-07-2022,1104.550049,1082.699951,1112,1080.599976,4957228,1.978189944
07-07-2022,1133.300049,1119,1138.949951,1114.599976,4917004,1.261806087
08-07-2022,1133.599976,1184.949951,1194.900024,1126.150024,10482265,-4.529814404
11-07-2022,1165.050049,1128.949951,1167.900024,1122.650024,4520273,3.098587741
12-07-2022,1146.650024,1164,1164.449951,1142,2452632,-1.513101263
13-07-2022,1140.349976,1153.199951,1156.5,1138.099976,3379695,-1.126844852
14-07-2022,1142.650024,1134.800049,1151.349976,1131.199951,2423203,0.686997316
15-07-2022,1172.5,1143,1175.900024,1140.400024,3879759,2.515991471
18-07-2022,1163.400024,1179.5,1179.5,1159.25,3480683,-1.383872758
19-07-2022,1186.25,1161.900024,1189.5,1161,4056414,2.052685016
20-07-2022,1165.650024,1195,1195,1162.5,3028752,-2.517906352
21-07-2022,1175.150024,1167.099976,1180,1164.800049,2062279,0.685023004
22-07-2022,1181.099976,1180,1185.900024,1170.300049,1983433,0.093131489
25-07-2022,1135.849976,1185,1185,1132,4380502,-4.327158079
26-07-2022,1136,1134,1146,1125.150024,2598868,0.176056338
27-07-2022,1138.099976,1140,1150.300049,1126.800049,1647876,-0.16694702
28-07-2022,1149.150024,1142.099976,1152,1135.349976,1929675,0.613501097
