MARUTI Historical Data,,,,,,
Equitypandit Financial Services Pvt. Ltd.,,,,,,
Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,8242.9,8353.2,8386.5,8211,391840,-1.32%
23 Mar 2023,8353.2,8264,8375,8232.6,540553,1.22%
22 Mar 2023,8252.4,8236,8289.6,8217,218120,0.29%
21 Mar 2023,8228.4,8245,8275,8215,287497,0.11%
20 Mar 2023,8219.6,8316.85,8316.85,8130,488199,-1.17%
17 Mar 2023,8316.85,8503,8510.95,8293.55,471602,-1.43%
16 Mar 2023,8437.45,8460.1,8533.4,8411,340261,-0.44%
15 Mar 2023,8474.95,8650,8704.95,8440,509229,-0.44%
14 Mar 2023,8512.15,8544.95,8544.95,8445,349510,-0.07%
13 Mar 2023,8518.4,8601.55,8637.3,8481.1,479314,-0.97%
10 Mar 2023,8601.55,8530,8628,8480.1,516128,0.70%
09 Mar 2023,8541.95,8725,8737,8534.05,431466,-1.75%
08 Mar 2023,8693.9,8625,8712.05,8610.05,348171,0.72%
06 Mar 2023,8631.45,8640,8663,8590.95,275417,0.35%
03 Mar 2023,8601.25,8592.05,8629,8550,437977,0.61%
02 Mar 2023,8548.75,8771,8771,8509.1,603893,-2.46%
01 Mar 2023,8764.15,8620,8776.25,8620,333441,1.62%
28 Feb 2023,8624.35,8650,8709,8605.3,370998,-0.09%
27 Feb 2023,8632.2,8630,8643.05,8530,220225,-0.33%
24 Feb 2023,8660.5,8711,8740,8609.3,242982,-0.41%
23 Feb 2023,8696.25,8693.45,8747.45,8616,317544,0.43%
22 Feb 2023,8658.95,8675.5,8719,8585,363931,-0.13%
21 Feb 2023,8669.85,8694,8720,8638.45,323478,-0.27%
20 Feb 2023,8693.65,8807.75,8849,8675.25,298434,-1.30%
17 Feb 2023,8807.75,8787,8874,8749.75,214587,0.03%
16 Feb 2023,8805.1,8880,8880,8790,247514,-0.46%
15 Feb 2023,8845.35,8774.45,8895.7,8742,452568,0.81%
14 Feb 2023,8774.45,8815,8847,8765,227030,-0.40%
13 Feb 2023,8809.45,8787,8864.4,8755.7,253037,-0.02%
10 Feb 2023,8811.35,8797.8,8875,8772.95,276298,0.12%
09 Feb 2023,8801.2,8802.3,8833,8700,392186,-0.38%
08 Feb 2023,8834.7,8773,8854.5,8673.05,391645,0.82%
07 Feb 2023,8762.45,8908,8920,8752.55,318669,-1.63%
06 Feb 2023,8908,8926.95,8936,8820,205161,-0.38%
03 Feb 2023,8942.3,8940,8963,8845.15,351157,0.81%
02 Feb 2023,8870.15,8765,8940,8751.1,456995,1.16%
01 Feb 2023,8768.85,8937,9030.45,8673.9,707460,-1.42%
31 Jan 2023,8895.3,8856.9,8943.85,8830.2,643670,0.89%
30 Jan 2023,8817,8779,8865,8718,1036998,0.91%
27 Jan 2023,8737.5,8828.45,8889,8620.1,743546,-0.53%
25 Jan 2023,8784.1,8747.9,8833,8680.3,1131883,0.98%
24 Jan 2023,8698.8,8450,8718,8417,1039571,3.35%
23 Jan 2023,8417.1,8480,8482,8377.9,410827,-0.27%
20 Jan 2023,8439.8,8462.05,8500,8412,346337,-0.73%
19 Jan 2023,8501.65,8479,8519,8456.5,184776,0.09%
18 Jan 2023,8494.05,8473,8537.4,8464.3,402883,0.17%
17 Jan 2023,8479.35,8409.85,8493.3,8342.15,409248,1.18%
16 Jan 2023,8380.1,8480,8514.3,8343.6,500575,-0.87%
13 Jan 2023,8453.4,8397,8500.05,8351,705220,1.01%
12 Jan 2023,8369.2,8315,8377,8260,283772,1.02%
11 Jan 2023,8284.45,8334.65,8334.65,8249.15,327536,-0.10%
10 Jan 2023,8293.15,8380,8410,8262.9,493677,-1.00%
09 Jan 2023,8377,8424.85,8446.95,8325.1,613406,-0.07%
06 Jan 2023,8383.05,8460,8483.95,8350,368978,-0.92%
05 Jan 2023,8461.1,8444.95,8475,8390.05,417716,0.45%
04 Jan 2023,8422.8,8376,8537.05,8311.05,566744,0.48%
03 Jan 2023,8382.75,8380,8402,8304.15,493207,-0.24%
02 Jan 2023,8403.3,8365,8454,8337.6,398159,0.10%
30 Dec 2022,8394.6,8470,8490,8362.25,433976,-0.49%
29 Dec 2022,8435.8,8370,8449,8333,452134,0.18%
28 Dec 2022,8421.05,8315,8453.5,8287.6,538632,1.39%
27 Dec 2022,8305.45,8298.95,8315,8230.8,423308,0.59%
26 Dec 2022,8256.8,8147,8346,8076.05,315102,1.41%
23 Dec 2022,8141.6,8299.7,8329.95,8122.85,503012,-2.31%
22 Dec 2022,8334.35,8356.65,8384,8288,580858,-0.19%
21 Dec 2022,8350.4,8524.35,8566.95,8288.3,800720,-2.04%
20 Dec 2022,8524.35,8584.4,8584.4,8432.05,694906,-0.92%
19 Dec 2022,8603.85,8498.8,8621.45,8451,464106,1.39%
16 Dec 2022,8485.8,8559.5,8588,8446,624222,-1.15%
15 Dec 2022,8584.15,8641,8673.6,8575,472176,-0.66%
14 Dec 2022,8641.6,8650,8677.7,8596.05,343670,0.24%
13 Dec 2022,8620.7,8662,8697.35,8610,330236,-0.45%
12 Dec 2022,8659.75,8609,8693.3,8515.3,445039,0.54%
09 Dec 2022,8613.35,8707,8763.75,8545.45,790406,-0.80%
08 Dec 2022,8682.7,8665,8711,8606.05,476001,0.27%
07 Dec 2022,8659.15,8720,8747.85,8641,546450,-0.67%
06 Dec 2022,8717.35,8777.2,8800,8694.95,551379,-0.85%
05 Dec 2022,8792.05,8844,8853.2,8765,519621,-0.27%
02 Dec 2022,8815.85,8820,8928.9,8754.75,971612,-1.59%
01 Dec 2022,8958.15,9019.05,9025,8930,694489,-0.18%
30 Nov 2022,8974.15,8924,9020,8870,1087650,0.72%
29 Nov 2022,8910.2,8985,9024.75,8888,606692,-0.84%
28 Nov 2022,8985.4,9028,9104.1,8950,439956,-0.38%
25 Nov 2022,9019.5,9000,9080,8947.5,545439,0.58%
24 Nov 2022,8967.1,8968.9,8994.9,8921,455343,0.36%
23 Nov 2022,8934.5,8940,8989,8902,621006,0.68%
22 Nov 2022,8873.75,8875,8934.95,8859.05,455948,0.10%
21 Nov 2022,8865.2,8825,8929.2,8786,520644,0.19%
18 Nov 2022,8848.05,9010,9023.95,8836,515615,-1.54%
17 Nov 2022,8986.45,9101,9169.6,8970,409572,-1.63%
16 Nov 2022,9134.95,9160,9252.5,9099.85,350737,-0.30%
15 Nov 2022,9162.2,9190,9203.55,9130,359888,0.11%
14 Nov 2022,9152.35,9100,9163.05,8992.55,282822,0.71%
11 Nov 2022,9087.55,9200,9240,9050,461074,-0.11%
10 Nov 2022,9097.25,9201,9250.75,9071,445700,-1.69%
09 Nov 2022,9253.5,9480.35,9480.85,9220,617256,-0.86%
07 Nov 2022,9333.3,9277,9352.8,9254.3,469017,1.12%
04 Nov 2022,9229.5,9257.9,9324,9191.05,465775,-0.10%
03 Nov 2022,9239.1,9210,9310,9164.4,616860,0.11%
02 Nov 2022,9229.4,9445,9454.6,9210,788679,-2.38%
01 Nov 2022,9454.6,9635,9636.9,9375,805517,-0.77%
31 Oct 2022,9527.6,9650,9769,9451.1,1932020,0.37%
28 Oct 2022,9492.55,9095,9549.95,9051,1873029,4.98%
27 Oct 2022,9041.95,9050,9076.95,8902,849108,0.41%
25 Oct 2022,9005,8820,9017,8797.4,727441,2.73%
24 Oct 2022,8765.45,8788.8,8788.8,8745.85,30052,0.71%
21 Oct 2022,8703.3,8730,8794,8641,356203,-0.05%
20 Oct 2022,8707.4,8700,8739.2,8611,328270,-0.14%
19 Oct 2022,8719.35,8851.4,8855,8695,385416,-1.00%
18 Oct 2022,8807.35,8765.05,8888.25,8752.05,369973,0.96%
17 Oct 2022,8723.8,8610,8749.7,8567.05,304671,1.24%
14 Oct 2022,8617.3,8760,8766.6,8606.3,274160,-0.37%
13 Oct 2022,8649.55,8665,8785.45,8592,355605,-0.43%
12 Oct 2022,8686.6,8698,8720,8590.6,380365,0.03%
11 Oct 2022,8684.15,8811,8850,8665,422610,-2.01%
10 Oct 2022,8862.4,8675,8876.45,8658,411218,0.95%
07 Oct 2022,8779.1,8750,8845.6,8711,428616,0.87%
06 Oct 2022,8703,8734,8825,8690.5,474445,0.14%
