Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1150.8,1160.55,1170.55,1147.1,1839876,-1.21%
23 Mar 2023,1164.95,1161,1175,1153.8,2594282,0.07%
22 Mar 2023,1164.1,1167.5,1180.5,1159.15,2211909,0.33%
21 Mar 2023,1160.3,1170.6,1175,1156.4,2209422,-0.63%
20 Mar 2023,1167.65,1169.95,1179.15,1145,2082268,-0.33%
17 Mar 2023,1171.5,1172.9,1186.25,1152,3683701,0.38%
16 Mar 2023,1167.05,1160,1175.25,1140.15,3604480,0.58%
15 Mar 2023,1160.35,1167,1174.4,1153.2,2226887,-0.04%
14 Mar 2023,1160.8,1192.3,1192.4,1156.85,5379592,-2.74%
13 Mar 2023,1193.45,1222.7,1231,1182.45,3842775,-2.71%
10 Mar 2023,1226.7,1249,1256.7,1225.35,2664696,-1.72%
09 Mar 2023,1248.15,1291,1294.8,1244.95,3596577,-3.24%
08 Mar 2023,1289.95,1270,1291.95,1258.3,2370800,1.53%
06 Mar 2023,1270.45,1269.55,1284.25,1268,1570410,0.15%
03 Mar 2023,1268.6,1257.9,1276.95,1253.25,1493291,1.36%
02 Mar 2023,1251.55,1278.55,1278.55,1250,1563750,-1.62%
01 Mar 2023,1272.15,1275.95,1305.55,1269.05,2338935,0.20%
28 Feb 2023,1269.6,1263.7,1293.25,1260,3407211,0.97%
27 Feb 2023,1257.4,1270.05,1285.4,1248.4,2019964,-1.78%
24 Feb 2023,1280.2,1320.2,1320.55,1278.2,2824384,-2.57%
23 Feb 2023,1313.95,1325.25,1326.25,1305,1847879,-0.44%
22 Feb 2023,1319.75,1346.9,1352.85,1311.15,2196484,-2.37%
21 Feb 2023,1351.85,1354.5,1362.4,1341,2118816,0.42%
20 Feb 2023,1346.25,1342.1,1354.95,1332.6,1497314,0.35%
17 Feb 2023,1341.5,1359.95,1372.55,1332.3,2150027,-1.95%
16 Feb 2023,1368.15,1380.1,1397,1363.2,2646301,-0.81%
15 Feb 2023,1379.35,1364.2,1383.15,1360.05,2007214,1.19%
14 Feb 2023,1363.15,1358,1377,1350,2373179,0.75%
13 Feb 2023,1353,1375,1384,1325.05,4401219,-0.91%
10 Feb 2023,1365.45,1378.55,1386.95,1350.8,3282665,-0.49%
09 Feb 2023,1372.2,1372,1386,1363,1866387,-0.06%
08 Feb 2023,1373.05,1373.55,1380,1360,1241238,0.46%
07 Feb 2023,1366.7,1382.9,1385,1361,1413825,-0.68%
06 Feb 2023,1376,1391.9,1391.9,1360,1504382,-0.86%
03 Feb 2023,1388,1359.2,1391.95,1350.55,1803085,2.63%
02 Feb 2023,1352.4,1348.05,1378.2,1330.5,2029111,0.03%
01 Feb 2023,1352.05,1386.55,1390,1322,3010838,-1.94%
31 Jan 2023,1378.75,1350.3,1385.5,1335.3,5265862,3.54%
30 Jan 2023,1331.6,1320.1,1342,1305,2402331,0.86%
27 Jan 2023,1320.2,1318.1,1339.8,1286.65,1914769,0.66%
25 Jan 2023,1311.5,1324.9,1332,1306.05,1359090,-0.94%
24 Jan 2023,1323.9,1335.1,1335.1,1321.05,1408040,-0.34%
23 Jan 2023,1328.45,1321.35,1345.95,1312.3,1681075,1.04%
20 Jan 2023,1314.75,1324.05,1325,1311.65,1332666,-0.36%
19 Jan 2023,1319.55,1317.6,1328.7,1312.3,2066881,-0.20%
18 Jan 2023,1322.15,1320.35,1325,1308.1,1179938,0.10%
17 Jan 2023,1320.85,1318.95,1323.85,1304.1,1607137,0.40%
16 Jan 2023,1315.6,1333,1335.25,1302.95,1651972,-0.94%
13 Jan 2023,1328.15,1325,1337,1311.6,2600139,0.63%
12 Jan 2023,1319.9,1316,1327,1310,2448619,0.56%
11 Jan 2023,1312.6,1315.5,1320,1300.5,2041750,-0.17%
10 Jan 2023,1314.9,1310.5,1326.4,1305.75,3139930,0.35%
09 Jan 2023,1310.35,1272.95,1313.9,1271.65,3634805,3.59%
06 Jan 2023,1264.9,1252.65,1274.95,1248.15,2214972,0.98%
05 Jan 2023,1252.65,1240,1255,1231,2745160,1.33%
04 Jan 2023,1236.2,1252.35,1255.8,1231,1344532,-1.05%
03 Jan 2023,1249.3,1263,1265,1246.7,1510751,-1.07%
02 Jan 2023,1262.85,1251,1271,1242.6,1718385,1.09%
30 Dec 2022,1249.2,1265.35,1265.35,1245,1372710,-1.04%
29 Dec 2022,1262.35,1247.7,1267.6,1238.55,1289676,0.80%
28 Dec 2022,1252.35,1229.85,1255,1225,1959508,1.47%
27 Dec 2022,1234.25,1243.25,1248.5,1223.95,1304940,-0.23%
26 Dec 2022,1237.05,1224.6,1247.4,1216.3,1677560,1.02%
23 Dec 2022,1224.6,1220,1230,1208,1913648,-0.76%
22 Dec 2022,1233.95,1265.7,1277.65,1229.3,1557590,-2.51%
21 Dec 2022,1265.7,1279.9,1284.5,1258.5,1251993,-0.75%
20 Dec 2022,1275.25,1287.95,1288,1263.1,1286604,-1.19%
19 Dec 2022,1290.65,1250.9,1294.9,1245.05,2767603,3.12%
16 Dec 2022,1251.6,1277.95,1287,1250,2136354,-2.75%
15 Dec 2022,1286.95,1285.9,1293.5,1281.75,2417555,0.04%
14 Dec 2022,1286.45,1287,1291,1276.45,1436837,0.24%
13 Dec 2022,1283.35,1268,1285.95,1267,2164600,1.53%
12 Dec 2022,1264,1263.9,1277.3,1256.5,1723401,-0.11%
09 Dec 2022,1265.4,1281.5,1284.65,1256.5,1308941,-0.70%
08 Dec 2022,1274.35,1272.95,1282,1269.5,1906386,0.61%
07 Dec 2022,1266.6,1262,1268.9,1252.4,1731982,0.28%
06 Dec 2022,1263.05,1248.5,1265.45,1248.5,1686075,0.26%
05 Dec 2022,1259.8,1269.45,1269.45,1252.6,2764806,-0.38%
02 Dec 2022,1264.6,1286.45,1293.8,1260,2892150,-2.23%
01 Dec 2022,1293.45,1315,1316.95,1288,2613761,-0.93%
30 Nov 2022,1305.6,1262.1,1316,1257.65,7536690,3.86%
29 Nov 2022,1257.1,1256,1265,1248.55,2435651,0.51%
28 Nov 2022,1250.7,1258.9,1272,1246,2126619,-0.80%
25 Nov 2022,1260.8,1258,1267.7,1246,1370326,0.54%
24 Nov 2022,1254.05,1241.9,1257,1238.65,2133523,1.48%
23 Nov 2022,1235.7,1234.6,1240.35,1224,2396267,0.59%
22 Nov 2022,1228.45,1220.65,1235.45,1215.95,2469455,0.84%
21 Nov 2022,1218.25,1218,1234.9,1202,4120736,-0.73%
18 Nov 2022,1227.15,1250.05,1255.95,1217.25,4525364,-2.56%
17 Nov 2022,1259.35,1280.2,1285,1254.15,2319979,-2.13%
16 Nov 2022,1286.7,1288.95,1295,1276,2478281,-0.39%
15 Nov 2022,1291.7,1284.55,1296.3,1275.25,3192070,1.06%
14 Nov 2022,1278.15,1304,1309.7,1268.05,3794391,-0.70%
