Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,18953.1,19005.05,19100,18888,26299,-0.48%
23 Mar 2023,19044.45,18819.7,19169.9,18710.15,56685,1.19%
22 Mar 2023,18819.7,19009,19009,18698.7,28248,-0.57%
21 Mar 2023,18927.4,18990,19259,18820.05,97762,-0.06%
20 Mar 2023,18937.85,18900,18990,18652.1,75645,0.42%
17 Mar 2023,18858.15,18498.9,18875,18474.95,133430,2.21%
16 Mar 2023,18450.65,17990,18500,17967.75,83043,2.54%
15 Mar 2023,17993.35,18300,18371.1,17880,77958,-1.49%
14 Mar 2023,18264.65,18350,18435,18213,43879,-0.29%
13 Mar 2023,18317.45,18429.95,18499.9,18260.05,36476,-0.91%
10 Mar 2023,18485.75,18530,18530,18355.05,23634,-0.27%
09 Mar 2023,18535.7,18500,18579,18430,56615,0.09%
08 Mar 2023,18518.25,18405,18573.8,18397.55,45746,0.02%
06 Mar 2023,18514.85,18522,18554.05,18425,52949,0.35%
03 Mar 2023,18449.9,18549,18614.65,18405.5,46018,-0.17%
02 Mar 2023,18481.75,18799.95,18800,18456.8,39070,-1.58%
01 Mar 2023,18778.85,18700,18820.4,18575.15,63926,0.58%
28 Feb 2023,18670,18630.2,18725,18460.15,109182,0.25%
27 Feb 2023,18622.75,18700,18845,18492,51625,-0.31%
24 Feb 2023,18680.9,18741.25,18849,18615,38875,0.18%
23 Feb 2023,18648,18659.95,18824.15,18551,49268,-0.14%
22 Feb 2023,18674.15,18882.8,18882.8,18631.15,42080,-0.93%
21 Feb 2023,18848.7,18881.1,18933.8,18760,44954,0.14%
20 Feb 2023,18823.05,19030,19145,18780,65311,-1.04%
17 Feb 2023,19021.3,19575.05,19575.05,18822.05,188435,-3.10%
16 Feb 2023,19628.85,19430,19799.85,19140,174007,1.91%
15 Feb 2023,19260.95,19075,19298.8,18930.05,31998,0.93%
14 Feb 2023,19082.9,19114.8,19260,19027.5,38589,0.29%
13 Feb 2023,19026.8,19095,19199,18949.95,32489,0.02%
10 Feb 2023,19023.85,19010,19070.15,18875.05,26383,0.12%
09 Feb 2023,19000.3,18999,19084.35,18950.85,34734,0.03%
08 Feb 2023,18994.9,18950,19064.85,18890.15,23267,0.09%
07 Feb 2023,18978,19024,19099.9,18880,39873,-0.23%
06 Feb 2023,19021.5,19000,19060,18754.3,69134,0.09%
03 Feb 2023,19004.3,19005.4,19054.65,18770.1,55578,0.26%
02 Feb 2023,18954.6,19129,19129,18850.5,70922,-0.71%
01 Feb 2023,19089.85,19100,19177.05,18915.25,68805,0.38%
31 Jan 2023,19017.75,19200,19200,18929,117500,-0.77%
30 Jan 2023,19165.9,19206,19213.65,18978,49830,-0.26%
27 Jan 2023,19216.35,19260.05,19394,19026.05,44777,-0.10%
25 Jan 2023,19235.5,19349,19350.5,19150,41160,-0.29%
24 Jan 2023,19290.7,19400,19434,19148.8,37712,-0.39%
23 Jan 2023,19367.1,19250,19440,19151.05,37900,0.87%
20 Jan 2023,19200.05,19660.1,19667.85,19149.85,72022,-2.44%
19 Jan 2023,19681.1,19823.35,19895,19611.65,30999,-0.72%
18 Jan 2023,19823.35,19949.95,20041.9,19773.35,36399,-0.61%
17 Jan 2023,19945.75,19735.9,19966.2,19712.7,40187,1.06%
16 Jan 2023,19735.6,19840,19840,19701,24265,-0.25%
13 Jan 2023,19784.35,19950,19950,19725.05,34771,-0.45%
12 Jan 2023,19873.25,19758.3,19950,19740,33062,0.58%
11 Jan 2023,19758.3,20070,20084.9,19717.4,32510,-1.33%
10 Jan 2023,20023.95,20063.05,20189,19955.05,31668,-0.31%
09 Jan 2023,20085.7,19934.95,20164.3,19896.5,36144,1.01%
06 Jan 2023,19885.25,19800,19926.45,19776.55,39386,0.55%
05 Jan 2023,19776,19540,19894.15,19519.5,51393,1.31%
04 Jan 2023,19519.9,19780,19798,19500,31984,-1.05%
03 Jan 2023,19727.3,19599,19760.95,19475.95,31415,0.85%
02 Jan 2023,19561.55,19616.65,19715,19501.25,25164,-0.23%
30 Dec 2022,19606,19839.55,19890,19561.85,42644,-1.02%
29 Dec 2022,19808,19840,19917.55,19630.55,39851,-0.18%
28 Dec 2022,19843.6,19790,19895.9,19710,35346,0.34%
27 Dec 2022,19776,19900,20017.7,19745,40291,-0.61%
26 Dec 2022,19897.5,20174.95,20245.65,19860,33382,-1.17%
23 Dec 2022,20132.75,20200,20455,20055.05,74404,-0.86%
22 Dec 2022,20306.6,20395,20440,20157.5,37688,-0.04%
21 Dec 2022,20314.2,20165,20348,20062.15,70378,0.89%
20 Dec 2022,20135.55,20150,20167.85,19851.05,46676,0.27%
19 Dec 2022,20081.65,19800,20120,19799.95,65448,1.74%
16 Dec 2022,19738.7,19725,19860,19570.1,69321,0.00%
15 Dec 2022,19737.85,20063.5,20149.95,19634.45,39554,-1.62%
14 Dec 2022,20063.5,20385.15,20450.65,20006.65,81680,-1.59%
13 Dec 2022,20388.3,20561,20635.95,20330,49134,-0.48%
12 Dec 2022,20487.35,20250,20520,20145,81060,1.21%
09 Dec 2022,20241.75,19968,20294.95,19844.2,76755,2.20%
08 Dec 2022,19805.35,19900,20099,19731,40624,-0.53%
