Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,222.4,223,224.25,220.8,7778750,0.11%
23 Mar 2023,222.15,224,224.5,221.25,12818474,-0.87%
22 Mar 2023,224.1,223,224.7,220.8,5692385,0.43%
21 Mar 2023,223.15,227.25,227.7,222.45,8454591,-1.91%
20 Mar 2023,227.5,225.3,229.4,225.3,6961059,-0.96%
17 Mar 2023,229.7,233.95,234,228.3,25283269,-1.06%
16 Mar 2023,232.15,229.45,232.9,228.35,13828363,1.69%
15 Mar 2023,228.3,226.6,230.05,225.7,9171052,1.38%
14 Mar 2023,225.2,225.15,227.75,224,7187554,-0.40%
13 Mar 2023,226.1,228.05,230.05,225.4,9907240,-0.20%
10 Mar 2023,226.55,222.25,228.15,222.25,7204076,0.33%
09 Mar 2023,225.8,229,230.45,225.5,10456240,-0.99%
08 Mar 2023,228.05,226.95,228.35,225.7,8693622,0.40%
06 Mar 2023,227.15,224,228.8,223,11744968,2.27%
03 Mar 2023,222.1,220.4,225.45,220.4,7463902,0.79%
02 Mar 2023,220.35,218,221,215.8,59781419,0.66%
01 Mar 2023,218.9,221.55,222.25,217.4,9672064,-1.51%
28 Feb 2023,222.25,220.6,223,218.75,27419459,1.39%
27 Feb 2023,219.2,216.45,219.95,214.55,13322714,1.93%
24 Feb 2023,215.05,212.4,215.4,212.4,7356623,0.84%
23 Feb 2023,213.25,215,215.9,212.6,7759406,-0.65%
22 Feb 2023,214.65,216,217.3,213,6846495,-1.17%
21 Feb 2023,217.2,217.55,218.75,216.05,5026076,0.65%
20 Feb 2023,215.8,215.6,217,214.2,5131438,0.94%
17 Feb 2023,213.8,214,215.9,213,4868362,-0.37%
16 Feb 2023,214.6,216.9,216.9,214,2972337,0.05%
15 Feb 2023,214.5,213.25,215.2,213,6080623,-0.23%
14 Feb 2023,215,217.05,217.05,212.75,4508011,-0.46%
13 Feb 2023,216,214.1,216.5,214,5782600,0.89%
10 Feb 2023,214.1,211.9,214.45,211.85,8169120,0.59%
09 Feb 2023,212.85,212,213.95,212,5258312,0.40%
08 Feb 2023,212,212.85,213.25,210.45,9324540,-2.24%
07 Feb 2023,216.85,218,218.2,215.1,7526645,-0.09%
06 Feb 2023,217.05,213.45,217.35,213.05,5211151,1.02%
03 Feb 2023,214.85,213.2,215.15,210.4,8111765,1.01%
02 Feb 2023,212.7,216,217.1,211.35,9615498,-1.78%
01 Feb 2023,216.55,225,225,213.6,15184777,-0.05%
31 Jan 2023,216.65,212.6,220.2,212.15,15748160,2.27%
30 Jan 2023,211.85,218,218.85,210.55,18216133,-3.38%
27 Jan 2023,219.25,219.3,221.45,217,7843953,-0.07%
25 Jan 2023,219.4,220.7,221.25,217.8,4342749,-0.70%
24 Jan 2023,220.95,226.25,226.6,220.5,4613170,-1.84%
23 Jan 2023,225.1,224,228.3,223.55,10795208,0.83%
20 Jan 2023,223.25,221,223.9,221,7584484,1.13%
19 Jan 2023,220.75,218.8,221.25,218.65,8690112,0.64%
18 Jan 2023,219.35,218.3,220.15,216.4,8378527,0.43%
17 Jan 2023,218.4,215.65,218.7,214.9,9750429,1.28%
16 Jan 2023,215.65,215,215.9,212.7,6271646,0.77%
13 Jan 2023,214,213.6,215.35,213.3,4920184,0.23%
12 Jan 2023,213.5,213.55,213.9,211.4,15884667,0.73%
11 Jan 2023,211.95,212.2,213.05,210.1,6873271,0.07%
10 Jan 2023,211.8,209.9,212.45,209,12936245,1.29%
09 Jan 2023,209.1,209.2,211.95,204.25,39363845,0.48%
06 Jan 2023,208.1,208.15,210.3,207.55,8632854,-0.34%
05 Jan 2023,208.8,211.9,211.9,206.6,15955132,-1.07%
04 Jan 2023,211.05,215.4,215.4,210.5,7465907,-2.11%
03 Jan 2023,215.6,215.25,216.2,214.35,2154833,0.26%
02 Jan 2023,215.05,214.55,215.5,213,4469546,0.63%
30 Dec 2022,213.7,216.05,216.75,213.25,3482351,-0.95%
29 Dec 2022,215.75,214.05,216.5,213.5,16902655,0.00%
28 Dec 2022,215.75,212.5,218.4,212.5,12611662,1.46%
27 Dec 2022,212.65,212.95,215.2,211.8,9836889,0.38%
26 Dec 2022,211.85,211.5,214.25,210.95,5148249,0.28%
23 Dec 2022,211.25,213.4,215.3,210.45,3415989,-1.74%
22 Dec 2022,215,216.1,217,212.85,5221062,-0.49%
21 Dec 2022,216.05,217.05,218.25,213.85,5254396,-0.58%
20 Dec 2022,217.3,218.9,218.9,213.9,4906447,-0.73%
19 Dec 2022,218.9,214.05,219.2,213.5,5819147,2.67%
16 Dec 2022,213.2,215,218.2,212.6,8374963,-1.46%
15 Dec 2022,216.35,219.5,220.4,215.9,4039334,-1.30%
14 Dec 2022,219.2,216.3,220.55,216.3,7541515,1.34%
13 Dec 2022,216.3,215.55,216.8,213.05,6176588,0.35%
12 Dec 2022,215.55,216,218,214.6,6145822,-0.76%
09 Dec 2022,217.2,218.4,218.95,215.7,4515024,-0.28%
08 Dec 2022,217.8,221.8,221.85,216.9,8382330,-1.47%
07 Dec 2022,221.05,222.85,224.1,220.45,4360480,-1.10%
06 Dec 2022,223.5,221.55,224.15,219.4,8474959,0.72%
05 Dec 2022,221.9,219.7,222.25,217.2,12358468,0.96%
02 Dec 2022,219.8,218.55,221.5,218.55,9660712,-0.95%
