Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2203.3,2245.25,2250,2198,5711497,-1.98%
23 Mar 2023,2247.8,2268,2269.9,2243.05,7499082,-1.27%
22 Mar 2023,2276.6,2285,2291.45,2270,5039622,0.30%
21 Mar 2023,2269.7,2218.95,2274,2217,9876263,3.11%
20 Mar 2023,2201.25,2215,2220,2180,9010595,-0.98%
17 Mar 2023,2223.1,2244.75,2251.95,2212.7,15697554,-0.13%
16 Mar 2023,2225.9,2243,2254,2202.2,8474595,-0.50%
15 Mar 2023,2237.05,2284.1,2298.3,2227.4,10027725,-1.71%
14 Mar 2023,2275.95,2280,2304.95,2269.05,7396699,-0.37%
13 Mar 2023,2284.5,2329,2344,2275,5894088,-1.64%
10 Mar 2023,2322.7,2341.5,2344,2315.05,6153681,-1.55%
09 Mar 2023,2359.25,2416,2416.9,2355.1,7492509,-2.40%
08 Mar 2023,2417.35,2408.7,2419,2385,7283694,0.36%
06 Mar 2023,2408.7,2400,2424.6,2400,4694338,0.98%
03 Mar 2023,2385.4,2349.15,2393.45,2341.55,6758115,2.55%
02 Mar 2023,2326.05,2337,2351.65,2321.6,4307425,-0.76%
01 Mar 2023,2343.9,2344,2345.5,2323.25,5330852,0.92%
28 Feb 2023,2322.55,2356.1,2367,2313.65,10150245,-1.91%
27 Feb 2023,2367.85,2382,2389.65,2351.7,5168667,-0.66%
24 Feb 2023,2383.7,2372,2396.15,2368,4353814,0.68%
23 Feb 2023,2367.5,2378,2394.75,2361.35,4546655,-0.48%
22 Feb 2023,2378.9,2425.95,2430,2375.05,5087729,-2.27%
21 Feb 2023,2434.1,2424,2446.8,2412.35,6143298,0.82%
20 Feb 2023,2414.4,2445,2449.75,2410.1,4078245,-1.06%
17 Feb 2023,2440.2,2420,2447.5,2410.6,5450092,0.42%
16 Feb 2023,2430.05,2449.45,2463.8,2425.05,7967558,-0.08%
15 Feb 2023,2431.95,2376,2437.2,2373,15461902,2.26%
14 Feb 2023,2378.1,2329.95,2381.9,2323.65,6609564,2.36%
13 Feb 2023,2323.35,2340.2,2350,2313.55,4777674,-0.57%
10 Feb 2023,2336.65,2354.9,2354.9,2321.3,4979789,-0.82%
09 Feb 2023,2356.05,2353.45,2370.85,2334,6079228,0.17%
08 Feb 2023,2351.95,2313,2359.9,2307,9765490,2.00%
07 Feb 2023,2305.9,2312,2327.4,2293,6985001,-0.24%
06 Feb 2023,2311.45,2315,2321,2305.8,6847679,-0.75%
03 Feb 2023,2329,2349,2349,2293,11398850,0.09%
02 Feb 2023,2326.95,2318,2348,2311,6305317,-0.55%
01 Feb 2023,2339.9,2379.95,2379.95,2305,8929007,-0.59%
31 Jan 2023,2353.85,2382,2387.65,2341,10472167,-0.25%
30 Jan 2023,2359.75,2331.7,2371.9,2301,10047822,0.96%
