Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,972.85,977.6,979,968,1534322,-0.49%
23 Mar 2023,977.65,975,982.95,972,1857923,0.58%
22 Mar 2023,972.05,957,974.4,956.6,1626129,1.66%
21 Mar 2023,956.2,965,965,953.25,1687239,-0.52%
20 Mar 2023,961.2,950,962.65,947.35,1955757,0.37%
17 Mar 2023,957.7,968.55,968.7,952.75,2218687,-1.00%
16 Mar 2023,967.4,955.25,970,951.7,2228093,1.68%
15 Mar 2023,951.4,952,964.9,949.35,2189113,-0.61%
14 Mar 2023,957.2,953.5,963.75,950.3,1879695,0.32%
13 Mar 2023,954.1,955.1,959.9,947.55,1412106,-0.15%
10 Mar 2023,955.55,946.5,957.5,946.1,2001392,0.30%
09 Mar 2023,952.7,957.5,959.4,947.15,2994556,-0.50%
08 Mar 2023,957.5,960,965,947,4734482,-0.80%
06 Mar 2023,965.25,970,979.5,963.8,1989152,-0.17%
03 Mar 2023,966.9,967.05,969.75,958.15,2215832,0.17%
02 Mar 2023,965.3,960,967,951.1,1510195,0.63%
01 Mar 2023,959.3,951,966.05,951,1862513,0.28%
28 Feb 2023,956.6,969,976,954,3819644,-0.88%
27 Feb 2023,965.05,970.5,972.55,960.05,1548675,-0.56%
24 Feb 2023,970.5,970.6,983.35,963.7,1823835,-0.21%
23 Feb 2023,972.5,973,977.25,964.05,2835983,0.41%
22 Feb 2023,968.55,971.55,978,966,2605147,-0.31%
21 Feb 2023,971.6,990,990.8,969.15,1771813,-1.30%
20 Feb 2023,984.4,990.15,991.65,974.95,2157871,-0.01%
17 Feb 2023,984.5,992.2,996.5,982,1847026,-1.07%
16 Feb 2023,995.15,998.9,1010,991.2,1678410,-0.03%
15 Feb 2023,995.4,1002,1006.4,990.55,2251350,-1.13%
14 Feb 2023,1006.75,1018,1018.05,1003.25,1832842,-0.84%
13 Feb 2023,1015.25,1008.25,1017.35,1002,1355766,0.86%
10 Feb 2023,1006.6,1006.8,1014.35,996.7,1530150,-0.02%
09 Feb 2023,1006.8,1003,1021.2,1001.4,1474402,-0.61%
08 Feb 2023,1013,1004.8,1016.9,997.4,1815142,0.66%
07 Feb 2023,1006.4,1026.25,1028.5,1002,2360600,-1.66%
06 Feb 2023,1023.35,1020,1025.95,1012.75,1215157,-0.47%
03 Feb 2023,1028.15,1007,1032.45,1001.65,2332076,2.04%
02 Feb 2023,1007.6,1009.95,1015.7,993,2117181,-0.72%
01 Feb 2023,1014.9,1036.45,1043.95,1005.1,4717887,-1.89%
31 Jan 2023,1034.5,1055,1060.3,1026.05,5265462,-1.64%
30 Jan 2023,1051.7,1041.95,1072.15,1040.2,3320916,0.80%
27 Jan 2023,1043.4,1044.95,1051,1034,3448013,0.32%
25 Jan 2023,1040.05,1030.3,1045.65,1030.3,1753333,-0.06%
24 Jan 2023,1040.7,1050,1050.95,1034.55,2088556,-0.82%
23 Jan 2023,1049.3,1035,1054.9,1022.5,2106604,1.84%
20 Jan 2023,1030.35,1044.05,1047.5,1016.85,2963571,-0.98%
19 Jan 2023,1040.55,1038.1,1044,1036,824263,0.04%
18 Jan 2023,1040.1,1032.7,1041.5,1030.15,1238451,0.72%
17 Jan 2023,1032.7,1035.45,1036,1026.8,1245848,-0.27%
16 Jan 2023,1035.45,1031.6,1039.5,1026.1,1437532,0.37%
13 Jan 2023,1031.6,1031.15,1035,1020.15,1491367,-0.12%
12 Jan 2023,1032.85,1031.95,1035.45,1021.15,1641398,0.47%
11 Jan 2023,1028,1012,1033.05,1008.35,3258157,1.60%
10 Jan 2023,1011.85,1016,1024,1010.05,1607654,-0.49%
09 Jan 2023,1016.85,1015,1023.35,1010.5,1567316,0.81%
06 Jan 2023,1008.7,1015,1021.8,1004.1,1773153,-0.74%
05 Jan 2023,1016.2,1009.1,1021.9,1008.25,2246533,1.21%
04 Jan 2023,1004.1,1012,1025.9,1000.75,2573870,-0.50%
03 Jan 2023,1009.1,993,1012.8,988,1810117,1.21%
02 Jan 2023,997,1001.4,1001.4,987.2,1616012,-0.44%
30 Dec 2022,1001.4,1004,1006.8,993.75,1629162,0.08%
29 Dec 2022,1000.55,998.55,1004.7,989.1,2162872,0.56%
28 Dec 2022,995,998.9,1010.6,993,1686511,-0.51%
27 Dec 2022,1000.15,1000.25,1015.75,993,1870105,0.01%
26 Dec 2022,1000.05,1010,1011.8,988.7,2307374,-0.15%
23 Dec 2022,1001.55,1012,1027.85,998.45,3612433,-0.90%
22 Dec 2022,1010.65,1019.95,1034.05,1007.05,5163443,0.50%
21 Dec 2022,1005.6,992,1009.5,988.4,2043630,1.75%
20 Dec 2022,988.35,987.95,990.65,979.4,1352408,0.04%
19 Dec 2022,987.95,987.6,993.15,973.7,1547342,-0.57%
16 Dec 2022,993.65,998.15,1005.1,987.6,2618988,-0.85%
15 Dec 2022,1002.2,1001,1007,998.1,1304660,0.19%
14 Dec 2022,1000.25,999,1003,994.55,1570685,0.56%
13 Dec 2022,994.65,980,996.35,979.8,1863361,0.73%
12 Dec 2022,987.4,994.9,995,980.15,1875104,-0.55%
09 Dec 2022,992.85,980.8,997,980,4231753,1.23%
08 Dec 2022,980.8,1015,1018,975,10021644,-3.63%
07 Dec 2022,1017.75,1036.55,1037.15,1015.35,2954262,-1.53%
06 Dec 2022,1033.55,1039.4,1040,1023.25,1321211,-0.56%
05 Dec 2022,1039.4,1042.15,1045.95,1030.75,2294634,-0.06%
02 Dec 2022,1040,1048.3,1049.85,1034.8,2284133,-0.62%
01 Dec 2022,1046.45,1055,1057.85,1039.6,1878374,0.04%
30 Nov 2022,1046.05,1053,1058.3,1039.35,3060171,-0.36%
29 Nov 2022,1049.85,1035,1051.2,1034,1179559,1.46%
28 Nov 2022,1034.75,1033,1041.5,1027.95,1427648,0.09%
25 Nov 2022,1033.85,1037.95,1037.95,1026.95,1948596,-0.12%
24 Nov 2022,1035.1,1020.65,1037.4,1013.8,1994268,1.71%
23 Nov 2022,1017.65,1015.2,1019.1,1009.45,1311376,0.75%
22 Nov 2022,1010.1,1006.15,1012.4,996.25,1723123,0.69%
21 Nov 2022,1003.15,1003,1012.8,993.5,1108922,-0.64%
18 Nov 2022,1009.6,1015.25,1017.85,1006,1130682,-0.37%
17 Nov 2022,1013.35,1023.3,1030.5,1010.45,1758031,-0.52%
16 Nov 2022,1018.65,1007.1,1022.8,1007.1,1485506,0.26%
15 Nov 2022,1016.05,1022,1022,1004.45,1703050,-0.08%
14 Nov 2022,1016.9,1018.65,1021.4,1002,1764788,0.33%
11 Nov 2022,1013.55,1015.75,1031.45,1009.85,2390487,0.29%
10 Nov 2022,1010.65,1010,1022.3,1006.75,2419991,-0.29%
09 Nov 2022,1013.55,1020.05,1036.65,1010,2268760,-1.44%
07 Nov 2022,1028.35,1045,1049.95,1021,2853521,-1.11%
04 Nov 2022,1039.9,1045.3,1046.4,1031.45,1576349,-0.41%
03 Nov 2022,1044.2,1045,1055.6,1039.55,2386317,-0.74%
02 Nov 2022,1051.95,1038.8,1070.95,1032.65,5923662,1.48%
01 Nov 2022,1036.6,1021.95,1049,1019.15,5264069,1.94%
31 Oct 2022,1016.9,994.95,1027.3,991.2,3546309,2.72%
28 Oct 2022,990,1002,1003.5,987.55,3934980,-2.14%
27 Oct 2022,1011.65,999,1013.4,992.5,4379157,2.03%
25 Oct 2022,991.55,991.95,997.35,985.5,2119595,0.46%
24 Oct 2022,987,986,989.95,982.1,191840,0.95%
21 Oct 2022,977.7,981,991.9,975.75,1791608,-0.27%
20 Oct 2022,980.35,970,982.85,966.55,1669666,0.35%
19 Oct 2022,976.9,975.6,980.7,965.05,2424533,-0.15%
18 Oct 2022,978.35,983.75,985,972.75,2065146,-0.17%
17 Oct 2022,980,976.3,985,973.3,2647369,0.38%
14 Oct 2022,976.3,976,979.9,964,3307000,0.82%
13 Oct 2022,968.4,956.85,973.75,951.5,4498223,1.34%
12 Oct 2022,955.55,946,960,941.05,2875040,1.14%
11 Oct 2022,944.75,950.8,951.9,940,2426935,-0.14%
10 Oct 2022,946.05,945.95,954.25,935.25,1683827,-0.95%
07 Oct 2022,955.15,953,961.55,946.2,1762328,0.13%
06 Oct 2022,953.9,954.7,962,947.55,3449485,0.99%
04 Oct 2022,944.55,955.7,956.3,943.05,1856830,0.01%
03 Oct 2022,944.5,952.95,967.85,942.75,4444578,-0.44%
30 Sep 2022,948.65,933.95,950.95,930,4182345,1.93%
29 Sep 2022,930.7,925.1,955.5,925.1,8519098,1.40%
28 Sep 2022,917.85,894,926,892.05,5559336,2.31%
27 Sep 2022,897.15,905.25,909.85,894.4,3096645,-0.39%
26 Sep 2022,900.7,917.95,926.35,899.05,3760536,-2.21%
23 Sep 2022,921.1,902.6,926.7,902.6,4802181,1.44%
22 Sep 2022,908,899.9,911.25,895.3,2317690,0.30%
21 Sep 2022,905.3,918.55,922.5,902.65,4153228,-0.73%
20 Sep 2022,911.95,877.55,914.75,876.8,4408042,4.24%
19 Sep 2022,874.85,872.4,876.95,856.8,1920725,0.78%
16 Sep 2022,868.05,878.7,890.5,865.8,5625488,-0.71%
15 Sep 2022,874.3,883,888.15,871.1,1780723,-1.07%
14 Sep 2022,883.75,884.6,897.7,880.05,1889322,-0.72%
13 Sep 2022,890.15,889.85,893.3,883.5,2216354,0.28%
12 Sep 2022,887.7,891.2,895.15,885.1,1571387,-0.26%
09 Sep 2022,890,894.5,901.9,886.7,1405210,-0.48%
08 Sep 2022,894.3,898.25,900.75,887,1772605,0.06%
07 Sep 2022,893.75,879.5,896.4,879.5,1698682,0.68%
06 Sep 2022,887.75,887,890.7,882.55,2252661,0.36%
05 Sep 2022,884.6,869,886.15,864.45,2808538,1.73%
02 Sep 2022,869.55,872.9,878,866,1963435,-0.26%
01 Sep 2022,871.85,893,901.9,870.4,2939235,-2.37%
30 Aug 2022,893.05,883,895.5,882,3672052,1.57%
29 Aug 2022,879.25,872,881,865,2068888,-0.10%
26 Aug 2022,880.15,882.3,890.5,878.1,1542618,0.32%
25 Aug 2022,877.3,888,890.65,875,5016244,-0.42%
24 Aug 2022,881,892,899.95,878.05,3223687,-0.83%
23 Aug 2022,888.4,874.15,892,872.6,2314528,0.89%
22 Aug 2022,880.55,900.5,903.45,878.15,2860170,-2.31%
19 Aug 2022,901.35,916,920.8,898,1708425,-1.68%
18 Aug 2022,916.75,910,919,895.2,2989998,-0.44%
17 Aug 2022,920.8,919,926,915,1828327,0.68%
16 Aug 2022,914.6,907,919.45,906.3,1635836,0.13%
12 Aug 2022,913.45,921.05,922.8,907.15,1384417,-0.83%
11 Aug 2022,921.05,923,926.9,917.45,1526395,0.15%
10 Aug 2022,919.7,913.2,927,913.2,3077870,1.02%
08 Aug 2022,910.4,919.8,919.8,908.4,2677742,-0.61%
05 Aug 2022,915.95,919.5,929,911.9,3317738,-0.28%
04 Aug 2022,918.5,901,920,895.6,3151481,2.40%
03 Aug 2022,897,915,917.8,893.55,2863168,-2.21%
02 Aug 2022,917.25,918.7,926.6,912.05,2043767,-0.16%
01 Aug 2022,918.7,939.95,939.95,910,4219890,-2.60%
29 Jul 2022,943.2,897,951.95,879,11315800,5.40%
28 Jul 2022,894.85,896,896.85,878.75,3183169,0.10%
27 Jul 2022,894,867.5,897,866.05,2797789,3.04%
26 Jul 2022,867.65,869.2,877.4,862,1560211,-0.08%
25 Jul 2022,868.35,870,878,856.4,2419358,-0.70%
22 Jul 2022,874.5,871,876.15,866.5,1939758,0.56%
21 Jul 2022,869.65,872,877.9,863.7,2321107,0.25%
20 Jul 2022,867.5,884.7,884.7,862.05,2885666,-0.89%
19 Jul 2022,875.3,880,891.3,873.5,1604458,-0.85%
18 Jul 2022,882.8,888.6,895.6,878.55,2866600,0.50%
15 Jul 2022,878.4,884.9,884.95,872.85,1413559,-0.17%
14 Jul 2022,879.9,867.4,882.95,864.2,4934156,2.30%
13 Jul 2022,860.15,854.6,863.25,849.35,2663538,1.00%
12 Jul 2022,851.6,853,860,849,1695338,-0.66%
11 Jul 2022,857.25,856.8,863,851.1,1768048,-0.05%
08 Jul 2022,857.7,853.5,859.5,849.75,2927832,0.97%
07 Jul 2022,849.45,843.05,852.9,842.15,2327906,1.40%
06 Jul 2022,837.7,840,842.65,831.25,2364840,0.23%
05 Jul 2022,835.8,829.4,846.8,826.65,2682730,0.77%
04 Jul 2022,829.4,825.3,839.65,821.9,2097164,0.02%
01 Jul 2022,829.25,829.9,836.95,825,2316527,-0.16%
30 Jun 2022,830.6,836,848.15,823.65,3809670,-0.97%
29 Jun 2022,838.7,824,843.7,823.85,2975927,1.22%
28 Jun 2022,828.6,837,837.5,825.05,2823691,-0.84%
27 Jun 2022,835.65,828,848,828,2980249,1.34%
24 Jun 2022,824.6,827.9,833.8,821.5,1404748,-0.04%
23 Jun 2022,824.9,809.5,826.5,808.5,1778752,1.93%
22 Jun 2022,809.3,814,821,803.25,2032073,-1.00%
21 Jun 2022,817.45,806.6,820.3,805.35,1342717,1.51%
20 Jun 2022,805.3,801,813.5,794.5,2745302,1.50%
17 Jun 2022,793.4,805.2,810.3,789.9,5719089,-2.60%
16 Jun 2022,814.6,822.6,826,806.55,2327414,-0.94%
15 Jun 2022,822.3,825.25,830.05,819.15,2008725,-0.33%
14 Jun 2022,825.05,826,835.65,821.85,2461692,-0.54%
13 Jun 2022,829.5,840,851,819.75,2191412,-1.92%
10 Jun 2022,845.7,850,853.95,842,2124778,-1.53%
09 Jun 2022,858.85,846,862.1,835.45,2297715,1.37%
08 Jun 2022,847.25,845.1,854,837.6,3208941,-0.12%
07 Jun 2022,848.25,855,857.4,838.6,3031449,-1.34%
