Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,3120.5,3148.9,3170,3106,1329577,-0.13%
23 Mar 2023,3124.65,3114.9,3146.35,3101,1372218,-0.20%
22 Mar 2023,3130.8,3130.05,3143.5,3106.1,1123939,0.80%
21 Mar 2023,3106.1,3143.3,3156.75,3097.45,1815297,-1.18%
20 Mar 2023,3143.3,3169.65,3169.65,3095.05,2289468,-1.13%
17 Mar 2023,3179.3,3150.5,3221.4,3144,6739966,-0.18%
16 Mar 2023,3185,3208,3219.8,3172,1901060,-0.43%
15 Mar 2023,3198.9,3250,3260.35,3192,1780522,-0.50%
14 Mar 2023,3214.95,3280,3304.4,3209.4,2670334,-2.04%
13 Mar 2023,3281.95,3333,3369.8,3272,1901233,-1.47%
10 Mar 2023,3331,3312.9,3337.25,3290,1024404,-0.18%
09 Mar 2023,3336.85,3385,3385,3330.85,1648500,-1.58%
08 Mar 2023,3390.4,3364,3396,3330.85,1844590,0.55%
06 Mar 2023,3371.85,3361.9,3404.95,3359,1334132,0.89%
03 Mar 2023,3342.15,3354,3358,3331.1,1043190,0.62%
02 Mar 2023,3321.45,3361,3369.9,3318,1556538,-1.90%
01 Mar 2023,3385.7,3323,3389,3315,1669307,2.20%
28 Feb 2023,3312.85,3328.5,3392,3299.9,4116217,-0.57%
27 Feb 2023,3331.85,3390,3390,3316,1128022,-2.02%
24 Feb 2023,3400.45,3422.5,3433.95,3382.3,977592,-0.39%
23 Feb 2023,3413.8,3421,3452.4,3408,1441570,0.36%
22 Feb 2023,3401.55,3414.95,3447,3395,1218430,-1.43%
21 Feb 2023,3451,3494,3508.9,3444.75,1139541,-1.04%
20 Feb 2023,3487.3,3502,3522,3475.05,1296082,-0.40%
17 Feb 2023,3501.15,3526.15,3538.9,3490,1061369,-1.60%
16 Feb 2023,3558.05,3527.2,3575,3527,1618931,1.06%
15 Feb 2023,3520.65,3487,3526,3460.15,1429449,0.59%
14 Feb 2023,3500.1,3505,3524.85,3495,1579818,0.51%
13 Feb 2023,3482.4,3549,3549,3473.4,1087939,-1.56%
10 Feb 2023,3537.55,3520,3542.35,3508.15,1187821,-0.09%
09 Feb 2023,3540.85,3515,3547.6,3505.3,1655427,0.59%
08 Feb 2023,3520.1,3478.05,3539.9,3478.05,1986946,1.37%
