Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,1101.95,1105,1118,1096.65,1943460,0.23%
23 Mar 2023,1099.45,1087.1,1112,1087.1,1720354,-0.01%
22 Mar 2023,1099.6,1097,1106.3,1093.55,1750203,0.36%
21 Mar 2023,1095.65,1104.95,1109.85,1086.45,3354949,-1.20%
20 Mar 2023,1109,1136.8,1136.8,1096,4007438,-1.61%
17 Mar 2023,1127.15,1123.35,1132.5,1114.2,2507004,0.84%
16 Mar 2023,1117.75,1106,1122.6,1101.05,2396839,0.30%
15 Mar 2023,1114.4,1124.9,1132.2,1110.55,2583351,-0.08%
14 Mar 2023,1115.3,1128,1138.25,1098.4,4325522,-1.63%
13 Mar 2023,1133.8,1125,1164.7,1125,13080169,6.84%
10 Mar 2023,1061.25,1045,1062.95,1041.05,1400844,0.12%
09 Mar 2023,1060,1082,1083.35,1057.35,2550755,-1.70%
08 Mar 2023,1078.3,1080,1088.4,1069.6,2230530,-1.08%
06 Mar 2023,1090.05,1092,1096,1085,2076844,0.45%
03 Mar 2023,1085.15,1118,1119.6,1082.45,2388401,-2.22%
02 Mar 2023,1109.8,1120,1124,1105,1838692,-1.52%
01 Mar 2023,1126.9,1100.25,1129,1097,2084324,2.42%
28 Feb 2023,1100.25,1118,1135.5,1096.75,3894204,-1.23%
27 Feb 2023,1113.95,1109,1118.25,1096.85,2247105,-0.45%
24 Feb 2023,1119,1137,1141,1116,1913493,-0.87%
23 Feb 2023,1128.8,1127,1149.5,1124.05,2576193,0.28%
22 Feb 2023,1125.7,1122,1134.25,1118,2674708,-0.77%
21 Feb 2023,1134.45,1146,1151.95,1131.05,3494288,-0.85%
20 Feb 2023,1144.2,1129.5,1156.85,1120,4590531,1.33%
17 Feb 2023,1129.2,1108.1,1139,1108.1,5333732,-0.09%
16 Feb 2023,1130.25,1075,1141.05,1074.05,14422445,5.49%
15 Feb 2023,1071.4,1014.9,1075,1008.3,6712218,5.86%
14 Feb 2023,1012.05,1006.05,1025.7,1005.75,2440189,0.95%
13 Feb 2023,1002.5,1015,1017.8,1000.5,1682312,-1.46%
10 Feb 2023,1017.35,1011.55,1021.6,1004.1,1116554,0.13%
09 Feb 2023,1016,1011.05,1017.7,1002.6,1782899,0.49%
08 Feb 2023,1011.05,1007.5,1021.15,1004.35,2611176,0.86%
07 Feb 2023,1002.45,1005,1008.45,997,1697633,-0.29%
06 Feb 2023,1005.35,1006,1016.4,997,2003960,-0.59%
03 Feb 2023,1011.3,1024.45,1026.9,1003,2980262,-0.53%
02 Feb 2023,1016.65,1027.3,1044.25,1011.1,3860090,-0.69%
01 Feb 2023,1023.75,1018.05,1034.5,1003.3,1939670,0.86%
31 Jan 2023,1015,1025,1028.85,996.05,5797831,-2.04%
30 Jan 2023,1036.1,1030.1,1047.95,1018.4,2654212,0.58%
27 Jan 2023,1030.1,1051,1057.65,1021.5,1651820,-2.00%
25 Jan 2023,1051.15,1065,1067.7,1049,1049973,-1.82%
24 Jan 2023,1070.6,1070,1077.3,1065.3,1578750,0.50%
23 Jan 2023,1065.3,1053.5,1069.6,1047.25,1344952,1.80%
20 Jan 2023,1046.5,1052.5,1057.5,1041.85,1160517,-0.65%
19 Jan 2023,1053.3,1043.9,1054,1040.1,1768051,0.47%
18 Jan 2023,1048.35,1046.05,1051.5,1043.5,1138627,0.22%
17 Jan 2023,1046.05,1034,1050,1030.9,2466876,1.12%
16 Jan 2023,1034.45,1008.2,1035.75,1003.25,4286551,3.12%
13 Jan 2023,1003.15,1004.45,1009,986.3,2837817,0.16%
12 Jan 2023,1001.55,1010,1013.5,997.3,1948321,-0.48%
11 Jan 2023,1006.35,1008.45,1016.95,1003.25,1294200,0.37%
10 Jan 2023,1002.65,1013,1014.05,999.05,1411099,-1.24%
09 Jan 2023,1015.25,997.95,1021,995.4,2190779,2.95%
06 Jan 2023,986.15,1009.5,1011.65,985,2346808,-2.52%
05 Jan 2023,1011.65,1021,1024.95,1004.5,1376035,-0.85%
04 Jan 2023,1020.3,1023.8,1029.35,1012.1,1702044,-0.34%
03 Jan 2023,1023.8,1013,1024.8,1008.05,1439615,1.42%
02 Jan 2023,1009.5,1017.9,1021.85,1005.2,1348611,-0.68%
30 Dec 2022,1016.4,1022.75,1027.65,1015,1317151,0.32%
29 Dec 2022,1013.2,1010,1015.7,1007,1977329,-0.30%
28 Dec 2022,1016.25,1005.3,1019.4,1002.2,1077963,0.66%
27 Dec 2022,1009.55,1009.7,1012.6,993.2,1615647,0.85%
26 Dec 2022,1001,1000.35,1006.5,993,966423,0.53%
23 Dec 2022,995.75,1005.05,1015.5,993,1504806,-1.98%
22 Dec 2022,1015.85,1030,1035,1012.6,1925482,-0.99%
21 Dec 2022,1026.05,1024.5,1030.55,1020.25,2037666,0.80%
20 Dec 2022,1017.95,1025,1025,1004,2149130,-0.85%
19 Dec 2022,1026.7,1019.95,1028.1,1009.75,1529622,0.58%
16 Dec 2022,1020.8,1015,1033.5,1011,2994364,-0.19%
15 Dec 2022,1022.75,1060,1060,1020.25,5184673,-3.98%
14 Dec 2022,1065.1,1051,1068.05,1051,1983937,1.85%
13 Dec 2022,1045.75,1039.85,1047.45,1030.15,1983827,1.32%
12 Dec 2022,1032.1,1034,1044.4,1021.8,1689393,-0.31%
09 Dec 2022,1035.3,1073.95,1075.7,1030.2,3138360,-3.62%
08 Dec 2022,1074.15,1078.1,1082.4,1070.3,1110431,-0.36%
07 Dec 2022,1078.05,1086,1087.3,1074.2,1478573,-0.99%
06 Dec 2022,1088.8,1089,1096.15,1080.05,1838107,-1.00%
05 Dec 2022,1099.75,1120,1120,1096.25,2760688,-1.35%
02 Dec 2022,1114.75,1101.5,1116.3,1100.05,3418928,1.20%
01 Dec 2022,1101.5,1091.4,1107.95,1088.15,4264917,2.27%
30 Nov 2022,1077,1074.75,1082,1063.2,3909954,0.23%
29 Nov 2022,1074.55,1076.1,1085.45,1072.8,1233868,-0.25%
28 Nov 2022,1077.2,1075,1091,1071.4,1749691,-0.27%
25 Nov 2022,1080.15,1070,1082.9,1060,1943246,1.01%
24 Nov 2022,1069.3,1049.3,1071,1046,2208145,2.42%
23 Nov 2022,1044.05,1055.95,1058.65,1041.35,1704144,-0.63%
22 Nov 2022,1050.65,1042.6,1052.9,1036.05,1696991,0.77%
21 Nov 2022,1042.6,1055.1,1057.9,1037.8,1475958,-1.72%
18 Nov 2022,1060.85,1060,1065,1046,1617331,0.22%
17 Nov 2022,1058.55,1060,1061.85,1047.3,2089630,-0.78%
16 Nov 2022,1066.85,1066,1075,1059,2335937,-0.01%
15 Nov 2022,1066.95,1065,1070.5,1050,1577944,0.15%
14 Nov 2022,1065.35,1062,1074.45,1055.45,2229790,0.63%
11 Nov 2022,1058.7,1049,1066,1046.2,5299457,3.68%
10 Nov 2022,1021.1,1015,1034,1005.25,3285774,-0.74%
09 Nov 2022,1028.7,1047,1048.95,1025.05,2697639,-2.35%
07 Nov 2022,1053.5,1058.95,1067.9,1044.45,2588984,-0.01%
04 Nov 2022,1053.65,1053,1058.8,1038.75,2531080,0.08%
03 Nov 2022,1052.85,1070,1071.15,1050.15,3460133,-2.69%
02 Nov 2022,1082,1071,1098.7,1066.35,4104485,1.04%
01 Nov 2022,1070.9,1069,1080,1047.15,4709472,0.71%
31 Oct 2022,1063.4,1053.25,1078.3,1053,2629847,1.38%
28 Oct 2022,1048.95,1081,1081,1045.05,1542568,-2.50%
27 Oct 2022,1075.85,1093.3,1098,1067.15,2342818,-0.61%
25 Oct 2022,1082.5,1053.4,1086,1051,3097049,3.28%
24 Oct 2022,1048.15,1051,1051.15,1045,231316,0.67%
21 Oct 2022,1041.15,1041.65,1044.35,1031.1,1202009,-0.05%
20 Oct 2022,1041.65,1010,1043.4,1007,1852905,2.20%
19 Oct 2022,1019.2,1024.5,1030,1016.3,1304927,-0.02%
18 Oct 2022,1019.4,1028.4,1033.95,1014,2395805,-0.38%
17 Oct 2022,1023.25,1019,1027.95,1007.45,1426207,0.33%
14 Oct 2022,1019.85,1035,1049.9,1016.05,3492929,0.68%
13 Oct 2022,1012.95,1018.85,1021,1003.05,1344162,-0.29%
12 Oct 2022,1015.9,1007.8,1018.8,998.2,2192421,1.10%
11 Oct 2022,1004.85,1034.5,1035,1000.55,2310765,-2.38%
10 Oct 2022,1029.35,1008.1,1033,1003.5,1660433,0.54%
07 Oct 2022,1023.85,1029.9,1036.45,1021.05,1539126,-0.72%
06 Oct 2022,1031.3,1033.45,1045,1027.35,2397633,0.29%
04 Oct 2022,1028.3,1022,1036,1017.9,2715420,2.27%
03 Oct 2022,1005.5,1010,1018.25,999.15,2431236,-0.31%
30 Sep 2022,1008.6,1001,1018.8,984.55,3848885,0.15%
29 Sep 2022,1007.1,1042.85,1044.5,1001.65,3176310,-2.19%
28 Sep 2022,1029.7,1016,1036.4,1008.55,1965519,0.70%
27 Sep 2022,1022.5,1034.95,1045,1019.05,4448875,-1.01%
26 Sep 2022,1032.9,1029,1052.25,1013.55,3314114,-0.21%
23 Sep 2022,1035.1,1038,1049.9,1022,3230711,-1.27%
22 Sep 2022,1048.4,1050,1072,1042.25,3867282,-1.11%
21 Sep 2022,1060.15,1047.2,1066.95,1047,2760138,0.38%
20 Sep 2022,1056.15,1054,1065.7,1050,2321528,1.60%
19 Sep 2022,1039.5,1036,1051.85,1023.1,2485826,0.61%
16 Sep 2022,1033.2,1065,1073.95,1028,6635089,-4.60%
15 Sep 2022,1083,1120.3,1124.3,1078,3392174,-2.84%
14 Sep 2022,1114.7,1112,1121.85,1095,5179539,-2.85%
13 Sep 2022,1147.45,1156,1164.45,1143.1,2483685,-0.23%
12 Sep 2022,1150.1,1140,1165,1139.95,5230075,2.08%
09 Sep 2022,1126.65,1102.65,1132.35,1086.25,3394349,3.40%
08 Sep 2022,1089.6,1070,1092.9,1067.1,2634786,3.20%
07 Sep 2022,1055.85,1052,1061,1044,2615897,-0.74%
06 Sep 2022,1063.7,1065.05,1071,1050.3,3051076,-0.13%
05 Sep 2022,1065.05,1056,1070.8,1054.8,1677079,0.82%
02 Sep 2022,1056.4,1058.2,1066.5,1047.05,1645341,0.33%
01 Sep 2022,1052.9,1056,1065,1043.1,6112823,-2.16%
30 Aug 2022,1076.1,1048,1080.5,1042.3,4453769,3.92%
29 Aug 2022,1035.55,1046,1047.6,1017.3,6118233,-4.61%
26 Aug 2022,1085.55,1083,1097.55,1081,2624896,1.40%
25 Aug 2022,1070.6,1080,1089.65,1065.55,2734931,-0.03%
24 Aug 2022,1070.95,1066,1073.4,1055.1,2180800,0.47%
23 Aug 2022,1065.9,1062,1070.1,1047,2875768,-1.19%
22 Aug 2022,1078.7,1096,1100,1075.25,2157609,-2.30%
19 Aug 2022,1104.15,1110,1135,1100,4577717,-0.09%
18 Aug 2022,1105.15,1100,1109.2,1088.1,3041422,0.06%
17 Aug 2022,1104.5,1072.5,1106.9,1072.2,4280823,2.49%
16 Aug 2022,1077.7,1076,1079.95,1056.55,2222701,1.11%
12 Aug 2022,1065.9,1073.3,1076.4,1062,1771561,-1.05%
11 Aug 2022,1077.25,1072,1093.9,1070.2,3201408,2.09%
10 Aug 2022,1055.2,1056,1059.15,1043.05,2823021,-0.13%
08 Aug 2022,1056.6,1056,1064.85,1049.05,2579239,-0.15%
05 Aug 2022,1058.2,1060,1067.95,1050.45,2641829,0.20%
04 Aug 2022,1056.05,1063,1072.7,1036.2,5360632,0.32%
03 Aug 2022,1052.65,1027.45,1057,1024.7,3509019,1.94%
02 Aug 2022,1032.6,1046,1049.5,1030,2802273,-1.62%
01 Aug 2022,1049.6,1058.95,1058.95,1037.8,2540084,0.09%
29 Jul 2022,1048.65,1055,1068,1044.1,6185909,1.03%
28 Jul 2022,1038,1021.2,1043.45,1015.4,3428026,3.01%
27 Jul 2022,1007.65,1000,1009.95,992,2546052,0.83%
26 Jul 2022,999.35,1015,1037.25,994.15,5939871,-1.76%
25 Jul 2022,1017.25,1028.9,1028.9,1008.25,2888919,-1.11%
22 Jul 2022,1028.7,1040,1043.7,1013.25,2985409,-0.39%
21 Jul 2022,1032.75,1025,1035.8,1011.05,4935223,-1.22%
20 Jul 2022,1045.5,1021.25,1051.7,1017.25,5574762,3.75%
19 Jul 2022,1007.7,999.95,1010.95,991,2985845,-0.03%
