Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,2493.35,2516.8,2519.7,2474.95,838919,-1.02%
23 Mar 2023,2519.05,2510,2528,2494.05,610778,0.43%
22 Mar 2023,2508.15,2517.95,2524,2495,754732,-0.23%
21 Mar 2023,2514.05,2475,2521.55,2468.05,1652107,2.20%
20 Mar 2023,2459.95,2462,2474.95,2441.55,918922,0.18%
17 Mar 2023,2455.65,2467.15,2474,2447.4,1625905,0.22%
16 Mar 2023,2450.35,2413.5,2482,2413,2317115,2.14%
15 Mar 2023,2399.1,2380,2413.85,2379.95,1656307,1.85%
14 Mar 2023,2355.6,2336.95,2391.85,2328.85,1470817,1.01%
13 Mar 2023,2332,2372.75,2376.95,2321,631722,-1.83%
10 Mar 2023,2375.5,2354.85,2379.95,2338,543004,0.31%
09 Mar 2023,2368.25,2400.8,2407.95,2365,601071,-1.20%
08 Mar 2023,2397.1,2396.4,2401.2,2372.25,858496,-0.26%
06 Mar 2023,2403.45,2412.55,2426.4,2392.6,682556,0.31%
03 Mar 2023,2396.1,2370,2402,2358.3,710845,1.57%
02 Mar 2023,2358.95,2382.35,2394.3,2351.75,529609,-0.98%
01 Mar 2023,2382.4,2370,2396.05,2366.35,479935,0.40%
28 Feb 2023,2372.8,2401.1,2425,2363.6,1430349,-1.17%
27 Feb 2023,2401,2399.1,2412,2373.6,862629,0.08%
24 Feb 2023,2399.1,2400,2413.75,2377.95,1145691,0.19%
23 Feb 2023,2394.5,2432.5,2432.5,2380,1602078,-1.52%
22 Feb 2023,2431.55,2451.95,2462.8,2414.4,1098118,-1.30%
21 Feb 2023,2463.6,2485.95,2485.95,2450.5,750272,-0.43%
20 Feb 2023,2474.15,2500,2507.25,2466.3,460090,-1.05%
17 Feb 2023,2500.3,2515,2545.85,2496,607239,-0.88%
16 Feb 2023,2522.4,2530,2545.65,2518.1,704946,-0.08%
15 Feb 2023,2524.3,2503.45,2528.25,2483.3,707224,0.69%
14 Feb 2023,2506.9,2528.95,2528.95,2480,843477,-0.48%
13 Feb 2023,2519.05,2480,2523.95,2476.15,1856317,2.05%
10 Feb 2023,2468.5,2452,2472,2442.05,597337,0.24%
09 Feb 2023,2462.55,2467,2475.65,2451.6,464715,-0.17%
08 Feb 2023,2466.75,2447,2480,2447,539085,0.81%
07 Feb 2023,2446.9,2456.3,2459.75,2432.1,563195,-0.45%
06 Feb 2023,2458,2474.85,2479.95,2447.6,1049075,-0.21%
03 Feb 2023,2463.1,2320.1,2470,2320.1,3693638,6.72%
02 Feb 2023,2308.1,2341.05,2385,2269.6,1788381,-1.61%
01 Feb 2023,2345.9,2408.55,2409.8,2300.05,1521514,-1.31%
31 Jan 2023,2377.15,2347,2386.45,2335.65,1252600,1.78%
30 Jan 2023,2335.55,2332,2342.85,2287.05,1401847,0.18%
27 Jan 2023,2331.25,2368.4,2368.4,2302.6,1238620,-1.08%
25 Jan 2023,2356.6,2370,2370,2333.55,650664,-0.60%
24 Jan 2023,2370.75,2372.5,2390.6,2364,714000,0.26%
23 Jan 2023,2364.7,2383.95,2384.3,2355.6,932554,-0.28%
20 Jan 2023,2371.3,2389.95,2396.95,2353,1229902,-0.58%
19 Jan 2023,2385.05,2392.5,2411.8,2367.2,1116874,-1.61%
18 Jan 2023,2424.1,2418,2429.85,2412.8,601233,0.67%
17 Jan 2023,2407.95,2405,2417.9,2386,926137,0.09%
16 Jan 2023,2405.85,2428,2434.8,2392,737012,-0.47%
13 Jan 2023,2417.2,2456.9,2456.9,2400,1416869,-1.20%
12 Jan 2023,2446.6,2450,2475,2432,874520,0.38%
11 Jan 2023,2437.4,2473,2488.6,2431,1000412,-1.25%
10 Jan 2023,2468.2,2495,2498.7,2456,948787,-0.66%
09 Jan 2023,2484.65,2529.95,2529.95,2467.8,2324487,-2.11%
06 Jan 2023,2538.1,2560,2584.4,2517,879019,-0.94%
05 Jan 2023,2562.1,2591,2620,2543.65,1544601,-1.36%
04 Jan 2023,2597.55,2618.8,2626.25,2585.6,832054,-0.61%
03 Jan 2023,2613.6,2568,2619,2555.05,852511,1.86%
02 Jan 2023,2565.75,2607,2616,2556.8,697408,-1.22%
30 Dec 2022,2597.5,2564,2610,2553.05,1057182,1.73%
29 Dec 2022,2553.25,2555,2588.85,2542.2,1583143,-1.04%
28 Dec 2022,2580.15,2502.8,2596,2497.5,2443430,3.06%
27 Dec 2022,2503.55,2498,2519.9,2485.6,791283,0.90%
26 Dec 2022,2481.1,2487.75,2512.4,2470.25,1076808,-0.08%
23 Dec 2022,2483.05,2467.65,2505,2455,1310439,0.00%
22 Dec 2022,2483,2491.8,2509.2,2465,557608,-0.27%
21 Dec 2022,2489.6,2515,2528,2481,519326,-0.74%
20 Dec 2022,2508.15,2516.8,2517.6,2482.1,597902,-0.54%
19 Dec 2022,2521.8,2483.2,2525.25,2468.7,572224,1.57%
16 Dec 2022,2482.85,2500,2520,2480,1177053,-1.58%
15 Dec 2022,2522.7,2585,2588.65,2514.55,1225728,-2.64%
14 Dec 2022,2591.1,2574.85,2596,2571.15,767737,0.59%
13 Dec 2022,2575.9,2597.4,2600,2565,832740,-0.34%
12 Dec 2022,2584.65,2613.5,2613.5,2571,726330,-1.18%
09 Dec 2022,2615.45,2597,2629.9,2567.95,935047,1.24%
08 Dec 2022,2583.5,2596.85,2613.9,2578.75,648288,-0.51%
07 Dec 2022,2596.85,2616.3,2623.75,2586.7,712914,-0.77%
06 Dec 2022,2617,2619.8,2624,2591.3,706596,0.05%
05 Dec 2022,2615.65,2629,2629.95,2589.25,747114,-0.09%
02 Dec 2022,2617.9,2648,2651.4,2605,731396,-0.79%
01 Dec 2022,2638.7,2662,2665,2630,539844,-0.54%
30 Nov 2022,2653,2613.75,2665,2604.2,1569918,1.50%
29 Nov 2022,2613.75,2597.15,2640,2595.05,866621,0.83%
28 Nov 2022,2592.25,2584.4,2608.5,2579,665149,-0.12%
25 Nov 2022,2595.4,2620,2620,2586,633047,-0.57%
24 Nov 2022,2610.2,2611,2618.3,2592.5,752066,0.32%
23 Nov 2022,2601.75,2614.95,2632.5,2590.8,992873,-0.17%
22 Nov 2022,2606.2,2580,2609,2561,912070,1.28%
21 Nov 2022,2573.35,2552,2578.95,2539.65,629040,0.29%
18 Nov 2022,2565.8,2580,2583.4,2545,1038751,-0.63%
17 Nov 2022,2582,2638,2645,2576,1265647,-2.36%
16 Nov 2022,2644.3,2659,2678.2,2630,835064,-0.46%
15 Nov 2022,2656.65,2642.95,2669.15,2621.05,1033296,1.02%
14 Nov 2022,2629.8,2658,2665,2623.2,565428,-0.83%
11 Nov 2022,2651.8,2671,2694.4,2641.55,833729,0.41%
10 Nov 2022,2641,2710,2711.1,2628,1198585,-2.84%
09 Nov 2022,2718.1,2769,2769,2710,1184702,-0.86%
07 Nov 2022,2741.55,2772,2772,2706.3,1825529,-1.02%
04 Nov 2022,2769.7,2774.9,2781.45,2746.6,1172058,0.22%
03 Nov 2022,2763.65,2705,2779,2705,1227960,1.29%
02 Nov 2022,2728.45,2745,2747.35,2703,1704942,-0.96%
01 Nov 2022,2754.95,2770.15,2784,2741,890107,-0.24%
31 Oct 2022,2761.5,2750,2791,2738.25,1144647,0.92%
28 Oct 2022,2736.4,2708.95,2738.9,2693.25,1003160,1.21%
27 Oct 2022,2703.8,2700,2765,2680,2117791,1.25%
25 Oct 2022,2670.3,2697.35,2697.35,2662,505759,-0.51%
24 Oct 2022,2683.9,2697,2699.9,2679.15,184595,0.68%
21 Oct 2022,2665.65,2650,2679.65,2640.05,986521,1.30%
20 Oct 2022,2631.5,2640,2644,2581.35,1022636,-0.49%
19 Oct 2022,2644.55,2654.35,2677,2640,1001916,0.13%
18 Oct 2022,2641.1,2638.15,2664.7,2623.15,771852,0.61%
17 Oct 2022,2625,2613.9,2634.9,2602.55,1111199,0.28%
14 Oct 2022,2617.8,2640,2663.6,2607.75,1326916,0.74%
13 Oct 2022,2598.65,2610,2628,2591,1038687,-0.87%
12 Oct 2022,2621.35,2630,2644.9,2606,1131702,-0.12%
11 Oct 2022,2624.5,2693,2694,2616.4,1067626,-2.07%
10 Oct 2022,2680.1,2710,2727.9,2658,1290447,-1.85%
07 Oct 2022,2730.5,2690,2745,2675,5284814,5.31%
06 Oct 2022,2592.85,2598.05,2620,2581.6,1409852,0.30%
04 Oct 2022,2585.1,2629,2629,2571.65,1291070,0.42%
