Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,7405.65,7404,7431.2,7327.55,228994,-0.03%
23 Mar 2023,7407.95,7371,7465,7358.45,232908,0.15%
22 Mar 2023,7396.65,7360,7449.1,7353,381601,0.60%
21 Mar 2023,7352.75,7243,7360,7237.1,350524,1.51%
20 Mar 2023,7243.2,7275,7284.4,7098,520041,-0.64%
17 Mar 2023,7289.95,7159.15,7308.9,7159.15,383505,2.61%
16 Mar 2023,7104.6,7135.6,7149.8,7076.05,459814,0.05%
15 Mar 2023,7100.75,7126,7188,7082.2,265536,0.52%
14 Mar 2023,7063.95,7080,7115,6991,210976,-0.16%
13 Mar 2023,7075.6,7225,7258,7054.8,176576,-2.09%
10 Mar 2023,7226.4,7200,7242.95,7136.4,154319,-0.23%
09 Mar 2023,7242.95,7267,7301.25,7207.1,158808,-0.33%
08 Mar 2023,7267.25,7214.95,7283.45,7187.3,237790,0.93%
06 Mar 2023,7200.6,7244,7255.5,7191,154817,-0.21%
03 Mar 2023,7215.95,7330,7350,7188.25,408754,-1.00%
02 Mar 2023,7289.2,7274.15,7330,7252.85,180178,0.21%
01 Mar 2023,7274.15,7227,7344,7220,317216,0.18%
28 Feb 2023,7261.3,7182.05,7283.95,7162.2,429256,1.04%
27 Feb 2023,7186.65,7220,7235,7136.45,295092,-0.42%
24 Feb 2023,7216.7,7212.85,7241.8,7165.9,206602,0.55%
23 Feb 2023,7176.95,7241.8,7266,7142.1,286748,-0.40%
22 Feb 2023,7205.75,7327,7331.85,7192,402548,-1.84%
21 Feb 2023,7340.55,7444.8,7485,7321,399493,-1.16%
20 Feb 2023,7426.85,7301,7492,7301,713498,1.77%
17 Feb 2023,7297.85,7176,7393.3,7176,1063293,1.76%
16 Feb 2023,7171.75,7187.65,7193.8,7108,264069,0.28%
15 Feb 2023,7151.85,7138,7177,7047.65,404971,0.18%
14 Feb 2023,7139.2,7215.15,7229.9,7125.55,328419,-0.56%
13 Feb 2023,7179.25,7215,7250,7155,323236,-0.37%
10 Feb 2023,7206.05,7175,7226.9,7147.05,407822,0.37%
09 Feb 2023,7179.75,7250,7250,7160,334529,-0.97%
08 Feb 2023,7250.35,7114,7293.75,7114,559696,2.52%
07 Feb 2023,7071.8,7154.95,7205,7052.15,295067,-0.78%
06 Feb 2023,7127.25,7156.3,7207.75,7112.8,314446,-0.86%
03 Feb 2023,7189.2,7184.95,7225,7131,364197,0.30%
02 Feb 2023,7167.65,7100,7310,7005.05,647192,0.37%
01 Feb 2023,7141.4,7085,7239,6981.6,648015,0.79%
31 Jan 2023,7085.55,6925,7099,6892.55,593220,2.87%
30 Jan 2023,6887.7,6747,6903.95,6642.55,699269,2.56%
27 Jan 2023,6715.6,6734,6799,6604.1,635582,0.16%
25 Jan 2023,6705.1,6805.95,6830.85,6672,509299,-1.54%
24 Jan 2023,6809.7,6882,6897.65,6782.6,444188,-0.58%
23 Jan 2023,6849.75,7125,7184.95,6830,998103,-4.56%
