Date,Price,Open,High,Low,Volume,Change(%)
24 Mar 2023,852.4,852.5,860,849.15,17295696,-0.36%
23 Mar 2023,855.45,857,867.45,852.8,17920621,-0.55%
22 Mar 2023,860.2,857.65,862.55,851,17431520,0.92%
21 Mar 2023,852.4,843,854.5,839.05,18755854,1.91%
20 Mar 2023,836.45,837,837.8,825,14838651,0.02%
17 Mar 2023,836.25,831.8,838.4,818.65,11104490,1.50%
16 Mar 2023,823.9,829.7,831.3,810.3,14987868,-0.24%
15 Mar 2023,825.9,836.45,843.95,822.2,12914488,-0.54%
14 Mar 2023,830.35,827,834.45,818.25,15456802,0.24%
13 Mar 2023,828.4,841.45,855.3,823.95,16413159,-1.69%
10 Mar 2023,842.65,844.7,845.35,836.25,17273189,-1.55%
09 Mar 2023,855.95,867.2,869.8,854.15,10624440,-1.85%
08 Mar 2023,872.1,866.65,873.65,861.5,16144568,0.50%
06 Mar 2023,867.75,871.75,876.85,865.35,13904231,-0.09%
03 Mar 2023,868.55,856.75,873,849.85,12823098,1.70%
02 Mar 2023,854,853,861.85,851.1,12327141,-0.27%
01 Mar 2023,856.3,864,864,851.85,11015843,0.17%
28 Feb 2023,854.85,854.9,858,850,19600146,-0.18%
27 Feb 2023,856.4,833.55,858.3,833.55,14422574,1.99%
24 Feb 2023,839.7,843.95,845.6,835.55,8246139,-0.01%
23 Feb 2023,839.75,836.55,844.45,833.55,11743574,0.06%
22 Feb 2023,839.25,851.25,854.1,834.75,13880984,-1.75%
21 Feb 2023,854.2,854.4,859.45,846.85,11704445,0.25%
20 Feb 2023,852.1,862.65,866.55,850.25,9013430,-1.22%
17 Feb 2023,862.65,867.55,867.55,855.15,9990618,-0.78%
16 Feb 2023,869.45,875.95,877.8,864.85,10715685,-0.16%
15 Feb 2023,870.8,866.4,873.25,860.6,12070288,0.64%
14 Feb 2023,865.3,853.9,867.3,852.1,13402934,1.72%
13 Feb 2023,850.65,853.4,859.3,849.35,9394365,-0.37%
10 Feb 2023,853.85,855.55,861.9,852,8656405,-0.81%
09 Feb 2023,860.8,858.5,864.9,851.6,6299265,0.20%
08 Feb 2023,859.1,852.5,860.7,851.9,8082983,0.74%
07 Feb 2023,852.75,855,856,847.2,9337066,-0.11%
06 Feb 2023,853.7,861.5,867.8,849.65,8463833,-1.17%
03 Feb 2023,863.8,864.65,872.65,852.1,14914366,0.69%
02 Feb 2023,857.9,828.4,860.6,826.1,16798190,1.17%
01 Feb 2023,847.95,843.45,875.2,823.15,39237711,1.93%
31 Jan 2023,831.9,826,838.3,814.1,27291226,1.02%
30 Jan 2023,823.5,800,826.25,796,36301441,0.77%
27 Jan 2023,817.2,839.15,843,813.1,39718683,-4.45%
25 Jan 2023,855.3,873.3,876.8,848,14918485,-1.77%
24 Jan 2023,870.75,879,881.7,868,11504090,-0.11%
23 Jan 2023,871.7,882,883.3,864.6,16882379,0.16%
20 Jan 2023,870.35,873.5,876.5,865.55,8127162,0.48%
19 Jan 2023,866.15,868,870.55,862,6694679,-0.39%
18 Jan 2023,869.5,864.45,872,858.65,11313898,0.50%
17 Jan 2023,865.15,866.95,867.95,858.1,12624859,-0.01%
16 Jan 2023,865.25,877.25,877.45,861.05,8319812,-0.94%
